Trigger Ref,Working Name,SOURCE-174-210 Current Decision,XPORT Excerpt Gate Decision,XPORT Excerpt Confidence,Best Sample Handle,Best Review Focus,Definition Term Overlap,Source Anchor Count,CAPII Anchor Count,Routing Decision,Allowed Use Now,Blocked Use Now,Next Action
174,Impulsumkehrfeld,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
175,Kernabsichtsfilter,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
176,Synchronisationsfenster,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_definition_candidate,high_context_candidate,xport2-sample-002,tokenomics_trigger_shared,4,3,1,shortlist_for_private_source_confirmation,May route into SOURCE-174-210 as XPORT-supported private confirmation candidate.,"No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private human excerpt confirmation; do not publish raw excerpt.
177,Traumaschnittstelle,hold_at_l2_source_backed_reference_pending_sensitivity_and_xport_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
178,Resonanzresetpunkt,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
179,Verdichtungszone,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,4,6,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
180,Zielvektor-Ueberschreibung,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
181,Meta-Rhythmus-Slot,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,0,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
182,Ueberspannungsablauf,hold_at_l2_source_backed_reference_pending_sensitivity_and_xport_review,excerpt_context_supports_definition_candidate,high_context_candidate,xport2-sample-001,tokenomics_trigger_shared,3,3,3,shortlist_for_private_source_confirmation,May route into SOURCE-174-210 as XPORT-supported private confirmation candidate.,"No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private human excerpt confirmation; do not publish raw excerpt.
183,Selbstbild-Neusatz,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,2,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
184,Innere Buendelungszone,hold_at_l2_source_backed_reference_pending_xport_raw_review,excerpt_context_supports_name_candidate,medium_context_candidate,xport2-sample-001,tokenomics_trigger_shared,1,3,3,route_to_private_context_review,"May route as name-context support, not as independent public definition source.","No raw excerpt publication, no public canon promotion, no canonical TRG assignment, no activation semantics, no CAP-II/tokenomics/IP public claim.",Private context review before any direct source-evidence claim.
