Review ID,Bridge ID,Graph ID,Node ID,Label,Trigger References,Candidate Class,Sensitivity,Lane,Gate Decision,Gate Status,Reason,Canonical TRG Status,Boundary
MMD4-C001,VTB-001,ordner-02-codex-trigger-detail,G02,📖 02_Codex & Trigger,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C002,VTB-002,ordner-02-codex-trigger-detail,CODEX139,📋 Codex139+_TriggerExport,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C003,VTB-003,ordner-02-codex-trigger-detail,TRIGGER_ARCH,🌀 Trigger-Architektur,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C004,VTB-004,ordner-02-codex-trigger-detail,T516,Trigger 516: Inspiration,516,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C005,VTB-005,ordner-02-codex-trigger-detail,T520,Trigger 520: SessionStart,520,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C006,VTB-006,ordner-02-codex-trigger-detail,T540,Trigger 540: Beobachtbares Momentum,540,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C007,VTB-007,ordner-02-codex-trigger-detail,T544,Trigger 544: Synchronisationsknoten,544,numeric_anchor,Internal,CAP-MODULE-CANDIDATE,promote_module_candidate,candidate,Safe internal anchor candidate,not assigned,Visual evidence only; canon remains separate.
MMD4-C008,VTB-008,ordner-02-codex-trigger-detail,T777,Trigger 777: Schattenarchiv,777,numeric_anchor,Restricted,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C009,VTB-009,ordner-02-codex-trigger-detail,TRIGGER_LISTEN,📋 Trigger-Listen,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C010,VTB-010,ordner-02-codex-trigger-detail,T174_210,Trigger 174-210: 37 neue,174-210,numeric_range,Internal,CANON-SOURCE-NEEDED,needs_source_review,defer,Visible reference requires source review,not assigned,Visual evidence only; canon remains separate.
MMD4-C011,VTB-011,ordner-02-codex-trigger-detail,T600,Triggerliste_600,600,numeric_anchor,Internal,CANON-SOURCE-NEEDED,needs_source_review,defer,Visible reference requires source review,not assigned,Visual evidence only; canon remains separate.
MMD4-C012,VTB-012,ordner-02-codex-trigger-detail,EMERGENT,500 emergente Trigger,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C013,VTB-013,ordner-05-produkte-services-detail,P3,3️⃣ Trigger-basierter Flow,,trigger_surface,Internal,CONTEXT-SURFACE,route_context_surface,context,Visual context only,not assigned,Visual evidence only; canon remains separate.
MMD4-C014,VTB-014,ordner-06-technische-dokumentation-detail,DELTA,🚀 Delta-Sync System v1.0,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C015,VTB-015,ordner-06-technische-dokumentation-detail,DELTA_SCRIPT,Delta-Sync Script v1.0,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C016,VTB-016,ordner-06-technische-dokumentation-detail,DELTA_PROPS,Sync Properties Template,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C017,VTB-017,ordner-06-technische-dokumentation-detail,DELTA_PROTOCOL,Sync-Protokoll v1.0,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C018,VTB-018,ordner-06-technische-dokumentation-detail,API_SYNC,Notion ↔ ChatGPT Sync,,sync_surface,Internal,CONTROL-SURFACE,promote_control_surface,candidate,"Useful for CAP routing, not a TRG assignment",not assigned,Visual evidence only; canon remains separate.
MMD4-C019,VTB-019,tokenaccess-triggermap-988-992,A,988 Snapshot Lockpoint,988,numeric_anchor,Sensitive,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C020,VTB-020,tokenaccess-triggermap-988-992,C,989 Token Sync Beacon,989,numeric_anchor,Sensitive,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
MMD4-C021,VTB-021,tokenaccess-triggermap-988-992,E,990 Trigger Audit Engine,990,numeric_anchor,Sensitive,SENS-HELD,hold_restricted_or_sensitive,blocked,SENS-001 before expansion,not assigned,Visual evidence only; canon remains separate.
