Trigger Ref,Working Name,Best Sample Handle,Best Review Focus,Best Decision,Best Confidence,Name Hits,Number Hits,Definition Term Overlap,Source Anchor Count,CAPII Anchor Count,Allowed Use Now,Blocked Use Now,Next Action
174,Impulsumkehrfeld,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,72,1,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
175,Kernabsichtsfilter,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,8,0,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
176,Synchronisationsfenster,xport2-sample-002,tokenomics_trigger_shared,excerpt_context_supports_definition_candidate,high_context_candidate,4,12,4,3,1,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
177,Traumaschnittstelle,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,8,1,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
178,Resonanzresetpunkt,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,0,2,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
179,Verdichtungszone,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,14,54,0,4,6,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
180,Zielvektor-Ueberschreibung,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,22,0,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
181,Meta-Rhythmus-Slot,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,6,2,0,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
182,Ueberspannungsablauf,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_definition_candidate,high_context_candidate,12,60,3,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
183,Selbstbild-Neusatz,xport2-sample-001,tokenomics_trigger_shared,excerpt_context_supports_name_candidate,medium_context_candidate,2,8,2,3,3,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
