Graph ID,Title,Role,Zoom,Status,Type,Direction,Source Kind,Source File,Source Hash,Code Lines,Nodes,Edges,Guards,Extraction Status
ordner-02-codex-trigger-detail,Ordner 02: Codex & Trigger Detail,ZOOM,IST,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,f44a3bf79db57c8c7032e6782c3ab19b79fdf2d8f1a47e8d3b5d376a5f95cd58,27,18,17,0,parsed
ordner-05-produkte-services-detail,Ordner 05: Produkte & Services Detail,ZOOM,IST,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,e9b0f700e937a8e2a613b604b50a7999d11c412ed320b29f71ed6ad838883643,34,23,22,0,parsed
ordner-06-technische-dokumentation-detail,Ordner 06: Technische Dokumentation Detail,ZOOM,IST,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,a8f965cebea0677e37b29edd44736309ce8c3bbd6217704b80fd555f95336627,40,27,26,0,parsed
tokenaccess-triggermap-988-992,TokenAccess – TriggerMap (988-992),APPENDIX,,ACTIVE,graph,LR,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,a07da3dbc93f2c5ad165a79cb757e71984fdff5fc0ad2b1480a76440fdd05925,10,9,8,8,parsed
terra-nova-master-overview-complete-workspace,Terra Nova Master Overview – Complete Workspace,KANON,IST,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,82719b1e45bcb39256ca27bc6feea68833a2edec54038be6c9adfe255e749b8e,131,88,87,0,parsed
digital-ecosystem-ziel-struktur-v2-0,Digital Ecosystem – Ziel-Struktur v2.0,KANON,SOLL,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,efd117995425faffdcdd9f62319bf212c4c24cee0c788a0a504d37387221a94b,67,45,44,0,parsed
notion-chatgpt-system-architektur,Notion ↔ ChatGPT System-Architektur,KANON,INTEGRATION,ACTIVE,graph,TB,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,eb3dfa7a1e7e549e72c210b13c612c48b00f12803abb80f063554cdf072aed3c,86,17,28,15,parsed
meta-conductor-agent-routing,Meta-Conductor – Agent Routing,KANON,ORCHESTRATION,ACTIVE,flowchart,LR,active_registry_depot,raw\exports\prism\source-pack\2026-05-02\Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md,6ea60756769d1882f88435a0c21615a3d251ab44b5efbe461df786d4435d204f,15,8,8,2,parsed
session-root-living-trigger-organism,SESSION_ROOT Living Trigger Organism,MANIFEST,TRIGGER-ORGANISM,ACTIVE,graph,TD,manifest,raw\exports\prism\source-pack\2026-05-02\🌿 Mermaid als lebendiger Trigger-Organismus – Konz 2e8c384b79d841979068f3595ecbde00 (2).md,10ebc644dc18c7090dbd3064a6b2a6ee6ff2dc3e16c02696c556ebc1c6cb7d04,54,21,20,20,parsed
full-sync-terra-nova-mcp-sequence,Full Sync Terra Nova MCP Sequence,INTEGRATION,SYNC,ACTIVE,sequenceDiagram,,repo_sequence,docs\ai\full_sync_terra_nova_mcp_sequence.md,7f3a7e747d1b167dfdbf34abb68d1a2f622202d370c640aaacf8d651e9d44876,127,12,91,91,parsed
mmd-001-cap-visual-control-model,MMD-001 CAP Visual Control Model,CAP,CONTROL,ACTIVE,flowchart,LR,cap_derived,docs\atlas\control-tower\mmd-001.mermaid-universe-readpass.md,c9efaeb4dfe1e0f79e44cecffa5b92f7419f2a6244363b8d81a6e940209f2874,23,9,12,1,parsed
