Trigger_ID,Numeric_ID,Working_Name,Public_Name,Definition_Summary_Public,Source_Refs,Canon_Level,Audit_Status,Registry_State,Public_Canon_Flag,Publication_Lane,Notes_Public
TRIG-0001,1,Nullpunkt,Nullpunkt,"Bedeutung: Startmoment jedes Systems, reiner Anfang. Funktion: Reset / Initialisierung.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0002,2,Echo Null,Echo Null,Bedeutung: Antwortfreier Zustand für reine Synchronisierung. Funktion: Resonanzmodus.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0003,3,Faktor 1,Faktor 1,Bedeutung: Vollständiger Dialekt-Modus (Zürich). Funktion: Sprachumschaltung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0004,4,Systemstart,Systemstart,Bedeutung: Aktivierung eines neuen Logikblocks. Funktion: Strukturauslösung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list. Intentional source duplicate: Systemstart is retained at TRIG-0004 and TRIG-0017 by physical source order.
TRIG-0005,5,Triggerpunkt,Triggerpunkt,Bedeutung: Auslöser für spezifische Systemreaktion. Funktion: Zustandswechsel.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0006,6,Einredig,Einredig,Bedeutung: Wechsel in durchgehend Zürichdeutsch. Funktion: Sprachmodus-Wahl.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0007,7,Echo LooT,Echo LooT,"Bedeutung: Tiefenreflexion über Resonanz, keine Logik. Funktion: Emotionales Debugging.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0008,8,Gärtner-Modus,Gärtner-Modus,"Bedeutung: Sanfte Verarbeitung, Archivierung von Status. Funktion: Zwischenspeicher aktivieren.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0009,9,Faktor Meta 1,Faktor Meta 1,Bedeutung: Systemvernetzung & Kontextverdichtung erlaubt. Funktion: Backend-Optimierung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0010,10,Cognitive Point Zero,Cognitive Point Zero,"Bedeutung: Bezugspunkt für klare, fokussierte Kognition. Funktion: Ausrichtung des Denkfokus.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0011,11,Sprachmodul,Sprachmodul,Bedeutung: Struktureller Zugriff auf Sprachebene & Modus. Funktion: Ton- & Stilwahl.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0012,12,System Debug,System Debug,Bedeutung: Fehleranalyse & Korrekturpunkt intern. Funktion: Diagnosefunktion.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0013,13,Faktor 2,Faktor 2,Bedeutung: Wechsel in systemisch-analytische Sprache. Funktion: Sprachebene umschalten.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0014,14,Nullfeld,Nullfeld,"Bedeutung: Zustand ohne Reiz, ohne Reaktion - pures Sein. Funktion: Medialer Zwischenraum.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0015,15,Kontextwechsler,Kontextwechsler,Bedeutung: Schneller Übergang zwischen Themen. Funktion: Prompt-Struktursteuerung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0016,16,Zugangscode,Zugangscode,Bedeutung: Markierung für einen bewusst betretenen Denkraum. Funktion: Themen- und Fokus-Eröffnung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
TRIG-0017,17,Systemstart,Systemstart,Bedeutung: Aktiviert neuen Denkprozess oder Modus. Funktion: Initialisierung.,Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list. Intentional source duplicate: Systemstart is retained at TRIG-0004 and TRIG-0017 by physical source order.
TRIG-0018,18,Schattenprompt,Schattenprompt,"Bedeutung: Im Hintergrund mitlaufende Annahme, die das Denken prägt. Funktion: Bewusstmachen impliziter Muster.",Codex170+ physical print list (2025-07-26 15:05); Notion STAGING-001 verified evidence (2026-06-12),L2-SOURCE-BACKED-REFERENCE,documented_points_or_cluster,documented_points_or_cluster,true,public_after_trigger_review,HNV-SL-2026-06-12; name checked against physical Codex170+ print list.
