Sample Handle,Review Focus,Signal Group,Signal Count,Public Meaning
xport2-sample-001,tokenomics_trigger_shared,cap_ii_tokenomics,982,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,control_tower,2216,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,mermaid_graph,222,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,metarotik,206,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,notion_workspace,4568,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,source_governance,1048,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,tnpx_patent_ip,356,count-only signal; not raw evidence
xport2-sample-001,tokenomics_trigger_shared,trigger_core,1242,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,cap_ii_tokenomics,164,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,control_tower,962,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,mermaid_graph,178,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,metarotik,296,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,notion_workspace,584,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,source_governance,330,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,tnpx_patent_ip,100,count-only signal; not raw evidence
xport2-sample-002,tokenomics_trigger_shared,trigger_core,408,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,cap_ii_tokenomics,113,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,control_tower,516,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,mermaid_graph,11,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,metarotik,0,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,notion_workspace,243,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,source_governance,35,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,tnpx_patent_ip,57,count-only signal; not raw evidence
xport2-sample-003,tokenomics_trigger_shared,trigger_core,467,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,cap_ii_tokenomics,98,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,control_tower,340,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,mermaid_graph,26,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,metarotik,18,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,notion_workspace,1002,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,source_governance,220,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,tnpx_patent_ip,16,count-only signal; not raw evidence
xport2-sample-004,tokenomics_trigger_shared,trigger_core,176,count-only signal; not raw evidence
