Sample Handle,Review Focus,Trigger Ref,Working Name,Number Hit Count,Name Hit Count,Evidence Class,Public Meaning
xport2-sample-001,tokenomics_trigger_shared,174,Impulsumkehrfeld,72,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,175,Kernabsichtsfilter,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,176,Synchronisationsfenster,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,177,Traumaschnittstelle,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,178,Resonanzresetpunkt,0,2,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,179,Verdichtungszone,54,14,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,22,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,2,6,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,182,Ueberspannungsablauf,60,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,183,Selbstbild-Neusatz,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,184,Innere Buendelungszone,16,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,185,Aussen-Filterresonanz,28,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,186,Energiezuteilungspunkt,34,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,187,Reizantwort-Umcodierer,0,2,name_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,188,Erwartungsumkehr,24,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,189,Stilleinbruch-Induktor,6,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,191,Selbstkontakt-Anker,2,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,192,Denkimpuls-Detektor,2,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,193,Zielbewusstseins-Booster,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,194,Mentale Vibrationstransparenz,8,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,195,Inneres Abgleichfenster,4,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,196,Stoerfeld-Entkoppler,12,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,197,Authentizitaetspegel,18,0,number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,198,Verlangsamungsbefehl,12,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
xport2-sample-001,tokenomics_trigger_shared,199,Systemeinklang-Abgleich,38,2,name_and_number_signal,signal only until raw excerpt context is reviewed privately
