Review ID,Trigger Ref,Working Name,Definition Status From Map,Canon Level From Map,Publication Lane From Map,Review Lane Now,Strongest Direct Source,XPORT-002 Samples,XPORT-002 Role,Decision Now,Allowed Claim Now,Blocked Claim Now,Review Gates,Next Source Action,Notes
SOURCE174210-R001,174,Impulsumkehrfeld,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R002,175,Kernabsichtsfilter,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R003,176,Synchronisationsfenster,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R004,177,Traumaschnittstelle,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,internal_sensitivity_review,sensitivity_language_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_sensitivity_and_xport_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;sensitivity_language_review;xport_002_sample_review,review xport2 trigger-only samples and rewrite public language before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R005,178,Resonanzresetpunkt,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R006,179,Verdichtungszone,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R007,180,Zielvektor-Ueberschreibung,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R008,181,Meta-Rhythmus-Slot,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R009,182,Ueberspannungsablauf,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,internal_sensitivity_review,sensitivity_language_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_sensitivity_and_xport_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;sensitivity_language_review;xport_002_sample_review,review xport2 trigger-only samples and rewrite public language before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
SOURCE174210-R010,183,Selbstbild-Neusatz,defined_reference_export,L2-SOURCE-BACKED-REFERENCE,public_after_trigger_review,standard_trigger_source_gate,N-CODEX139-174210,xport2-sample-010;xport2-sample-011;xport2-sample-012,deduped hash review corridor; not raw semantic authority,hold_at_l2_source_backed_reference_pending_xport_raw_review,"Use trigger number, working name and short definition as source-backed L2 reference material.","No canonical TRG assignment, execution semantics, activation protocol, medical claim, tokenomics claim or public canon promotion.",source_review;definition_canon_gate;xport_002_sample_review,review xport2 trigger-only samples; compare with Codex139+ and TNPX-01 before public canon admission,171-173 are reserved L0 ID anchors and are intentionally outside this SOURCE-174-210 scope.
