Bridge ID,Graph ID,Graph Role,Graph Zoom,Node ID,Label,Trigger References,Candidate Class,Source State,Sensitivity,In Degree,Out Degree,VORTEX Signal,Evidence,Proposed CAP Module,Canonical TRG Status,Boundary,Next Action
VTB-001,ordner-02-codex-trigger-detail,ZOOM,IST,G02,📖 02_Codex & Trigger,,trigger_surface,visible_surface_evidence,Internal,0,4,no,Ordner 02: Codex & Trigger Detail :: G02 :: 📖 02_Codex & Trigger,Codex bridge surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-002,ordner-02-codex-trigger-detail,ZOOM,IST,CODEX139,📋 Codex139+_TriggerExport,,trigger_surface,visible_surface_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: CODEX139 :: 📋 Codex139+_TriggerExport,Codex bridge surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-003,ordner-02-codex-trigger-detail,ZOOM,IST,TRIGGER_ARCH,🌀 Trigger-Architektur,,trigger_surface,visible_surface_evidence,Internal,1,5,no,Ordner 02: Codex & Trigger Detail :: TRIGGER_ARCH :: 🌀 Trigger-Architektur,Trigger architecture surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-004,ordner-02-codex-trigger-detail,ZOOM,IST,T516,Trigger 516: Inspiration,516,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T516 :: Trigger 516: Inspiration,Inspiration trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-005,ordner-02-codex-trigger-detail,ZOOM,IST,T520,Trigger 520: SessionStart,520,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T520 :: Trigger 520: SessionStart,SessionStart trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-006,ordner-02-codex-trigger-detail,ZOOM,IST,T540,Trigger 540: Beobachtbares Momentum,540,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T540 :: Trigger 540: Beobachtbares Momentum,Observable momentum trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-007,ordner-02-codex-trigger-detail,ZOOM,IST,T544,Trigger 544: Synchronisationsknoten,544,numeric_anchor,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T544 :: Trigger 544: Synchronisationsknoten,Synchronization node trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-008,ordner-02-codex-trigger-detail,ZOOM,IST,T777,Trigger 777: Schattenarchiv,777,numeric_anchor,visible_numeric_evidence,Restricted,1,0,no,Ordner 02: Codex & Trigger Detail :: T777 :: Trigger 777: Schattenarchiv,Schattenarchiv trigger candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Gate through sensitivity review before expansion
VTB-009,ordner-02-codex-trigger-detail,ZOOM,IST,TRIGGER_LISTEN,📋 Trigger-Listen,,trigger_surface,visible_surface_evidence,Internal,1,3,no,Ordner 02: Codex & Trigger Detail :: TRIGGER_LISTEN :: 📋 Trigger-Listen,Trigger list surface,not a canonical TRG assignment,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
VTB-010,ordner-02-codex-trigger-detail,ZOOM,IST,T174_210,Trigger 174-210: 37 neue,174-210,numeric_range,visible_numeric_evidence,Internal,1,0,no,Ordner 02: Codex & Trigger Detail :: T174_210 :: Trigger 174-210: 37 neue,Silvi/Codex139 range candidate,visible number only; canon not asserted,Candidate only; do not assign canonical TRG semantics without source review.,Use in MMD-004 review queue
