Bridge Edge ID,Graph ID,Graph Role,Source Node,Target Node,Guard Condition,Guard Type,Trigger References,VORTEX Signal,Sensitivity,Bridge Meaning,Boundary
VTG-001,ordner-02-codex-trigger-detail,ZOOM,G02,CODEX170,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-002,ordner-02-codex-trigger-detail,ZOOM,G02,CODEX139,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-003,ordner-02-codex-trigger-detail,ZOOM,G02,TRIGGER_ARCH,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-004,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_ARCH,T516,,unlabeled_transition,516,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-005,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_ARCH,T520,,unlabeled_transition,520,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-006,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_ARCH,T540,,unlabeled_transition,540,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-007,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_ARCH,T544,,unlabeled_transition,544,yes,Internal,structural trigger relation,Relation only; not execution permission.
VTG-008,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_ARCH,T777,,unlabeled_transition,777,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-009,ordner-02-codex-trigger-detail,ZOOM,CODEX170,PRINZIPIEN,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-010,ordner-02-codex-trigger-detail,ZOOM,PRINZIPIEN,ORA,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-011,ordner-02-codex-trigger-detail,ZOOM,PRINZIPIEN,TRIQUETRA,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-012,ordner-02-codex-trigger-detail,ZOOM,PRINZIPIEN,EIS,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-013,ordner-02-codex-trigger-detail,ZOOM,PRINZIPIEN,FDAS,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-014,ordner-02-codex-trigger-detail,ZOOM,G02,TRIGGER_LISTEN,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-015,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_LISTEN,T174_210,,unlabeled_transition,174-210,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-016,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_LISTEN,T600,,unlabeled_transition,600,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-017,ordner-02-codex-trigger-detail,ZOOM,TRIGGER_LISTEN,EMERGENT,,unlabeled_transition,,no,Internal,structural trigger relation,Relation only; not execution permission.
VTG-018,tokenaccess-triggermap-988-992,APPENDIX,A,B,Hash,explicit_guard,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-019,tokenaccess-triggermap-988-992,APPENDIX,C,D,CID,explicit_guard,,yes,Sensitive,activation guard,Relation only; not execution permission.
VTG-020,tokenaccess-triggermap-988-992,APPENDIX,E,F,Check,explicit_guard,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-021,tokenaccess-triggermap-988-992,APPENDIX,G,B,SHA256,explicit_guard,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-022,tokenaccess-triggermap-988-992,APPENDIX,H,I,Mirror,explicit_guard,,yes,Sensitive,activation guard,Relation only; not execution permission.
VTG-023,tokenaccess-triggermap-988-992,APPENDIX,B,D,Relation,explicit_guard,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-024,tokenaccess-triggermap-988-992,APPENDIX,F,B,Relation,explicit_guard,,no,Sensitive,activation guard,Relation only; not execution permission.
VTG-025,tokenaccess-triggermap-988-992,APPENDIX,I,F,Relation,explicit_guard,,yes,Sensitive,activation guard,Relation only; not execution permission.
VTG-026,notion-chatgpt-system-architektur,KANON,Python,Sync,Batch Sync<br/>Cron Jobs,explicit_guard,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-027,notion-chatgpt-system-architektur,KANON,Auto,PM,Triggert Updates,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-028,notion-chatgpt-system-architektur,KANON,ChatGPT,Auto,Triggert,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
VTG-029,notion-chatgpt-system-architektur,KANON,Notion,Auto,sync_enabled<br/>Property,explicit_guard,,yes,Internal,activation guard,Relation only; not execution permission.
VTG-030,session-root-living-trigger-organism,MANIFEST,T520,T521,session_opened,explicit_guard,520;521,no,Internal,activation guard,Relation only; not execution permission.
VTG-031,session-root-living-trigger-organism,MANIFEST,T521,ROOT,preflight_ok,explicit_guard,521,no,Internal,activation guard,Relation only; not execution permission.
VTG-032,session-root-living-trigger-organism,MANIFEST,ROOT,T01,context_loaded,explicit_guard,,no,Internal,activation guard,Relation only; not execution permission.
