Axis,Page Count,Publication Meaning
notion_workspace,841,Workspace membership baseline.
control_tower,174,"CAP, Equilibrium, ORA, Triquetra or CIC control surface."
trigger,43,"Trigger architecture, command surface or module candidate."
tokenomics,89,"Tokenomics, DAO, wallet, license or commercial-governance surface."
mermaid,16,"Mermaid/MMD graph, diagram or visual bridge surface."
patent_ip,64,"Patent, IGE, TNPX, IP or rights-related surface."
metarotik,18,"Metarotik, intimacy, somatic or phenomenological resonance surface."
prism_zenodo,12,"Prism, Zenodo, DOI, LaTeX or monograph evidence surface."
github_sync,39,"GitHub, sync, delta, repo or PR trace surface."
chatgpt_export,68,ChatGPT/Codex/export dialogue surface.
