Review ID,Bridge Edge ID,Graph ID,Source Node,Target Node,Guard Condition,Trigger References,Sensitivity,Lane,Gate Status,Reason,Boundary
MMD4-G001,VTG-001,ordner-02-codex-trigger-detail,G02,CODEX170,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G002,VTG-002,ordner-02-codex-trigger-detail,G02,CODEX139,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G003,VTG-003,ordner-02-codex-trigger-detail,G02,TRIGGER_ARCH,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G004,VTG-004,ordner-02-codex-trigger-detail,TRIGGER_ARCH,T516,,516,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G005,VTG-005,ordner-02-codex-trigger-detail,TRIGGER_ARCH,T520,,520,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G006,VTG-006,ordner-02-codex-trigger-detail,TRIGGER_ARCH,T540,,540,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G007,VTG-007,ordner-02-codex-trigger-detail,TRIGGER_ARCH,T544,,544,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G008,VTG-008,ordner-02-codex-trigger-detail,TRIGGER_ARCH,T777,,777,Internal,SENS-HELD,blocked,Relation held behind SENS-001,Guard relation only; not execution permission.
MMD4-G009,VTG-009,ordner-02-codex-trigger-detail,CODEX170,PRINZIPIEN,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G010,VTG-010,ordner-02-codex-trigger-detail,PRINZIPIEN,ORA,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G011,VTG-011,ordner-02-codex-trigger-detail,PRINZIPIEN,TRIQUETRA,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G012,VTG-012,ordner-02-codex-trigger-detail,PRINZIPIEN,EIS,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G013,VTG-013,ordner-02-codex-trigger-detail,PRINZIPIEN,FDAS,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G014,VTG-014,ordner-02-codex-trigger-detail,G02,TRIGGER_LISTEN,,,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
MMD4-G015,VTG-015,ordner-02-codex-trigger-detail,TRIGGER_LISTEN,T174_210,,174-210,Internal,STRUCTURAL-RELATION,context,Unlabeled visual relation,Guard relation only; not execution permission.
