title,category,type,size_bytes,sha256,sensitivity,source
ChatGPT - Notion System Analyse,sync architecture,md,235,e499c073ba1fa2a18b0905705cd2ad92d6e1a2481fe8218072e661f61b5d7045,,ChatGPT - Notion System Analyse 2f3f7297de7e81a39f66d16c8b2d2cf5 (2).md
Chatverlauf (Quelle),chat provenance,md,106915,6224ddbf6d725963e86eca59d220f0b7cc003dd69384088a417e62fdff80f761,external/public;patent/ip;private;raw-chat;token/wallet;trigger-depth,Chatverlauf (Quelle) a62a25945fc74eedbcd6929ff04e09fb (2).md
"Deep Research Review: FerrAI_fff Repository, Commit 0a1af3ea54eb9e2f9fda6807ebbb470b5ca4dc38 und Kontext",research review,md,26937,1a14e7b13841558f4c1fc864e0f7e8657944b11a8da579efa736f6fe83083447,external/public;patent/ip;private;raw-chat;token/wallet,"Deep Research Review FerrAI_fff Repository, Commit 2fdf7297de7e8040a6abfc56de024e6c (2).md"
Digital Ecosystem – Ziel-Struktur v2.0,technical documentation,md,514,9890ae6225ba53492fc473c2655415eeddee2c9b0df1a479f753c478b96253b3,,Digital Ecosystem – Ziel-Struktur v2 0 9017d28a843f4a82a34714ab9b622e79 (2).md
Digital Ecosystem – Ziel-Struktur v2.0,technical documentation,md,612,02b80a3d75b6c1c5a0d55bf323164308e10cfc4e1ccddde5747a5c4f8894a00a,,Digital Ecosystem – Ziel-Struktur v2 0 ef2bac8cc6bc4e69a0e23d2bdaa8ab3c (2).md
graph TB,master overview,md,1082,fa5536c102166a18014e9df04e9018574ceab62ab992f0080f1bf4916975874a,private;token/wallet,graph TB ROOT[🌍 TERRA NOVA WORKSPACE] %% Top Level b38d2f0a4a7843e3b8e30f6966290695 (2).md
Mermaid Code Library – Complete Collection,diagram registry,md,68645,3c8230a7f6dd4261ebbebe8b1211e23e7adcffed8f19d9c1e837886ce7586d6a,external/public;patent/ip;private;raw-chat;token/wallet;trigger-depth,Mermaid Code Library – Complete Collection 999ce78e7102420cbf7a2a4385c28603 (2).md
Mermaid Code Library – Depot,diagram registry,md,861,eaf0e977178ef06ddf83805e156124b620496e114c6a9ebed080aa0584a60c71,patent/ip,Mermaid Code Library – Depot 6cc2c35052b948e6a629478b4af26314 (2).md
Mermaid-Diagramme als lebende Systeme: Von der Visualisierung zur ausführbaren Architektur,mermaid manifesto,md,30403,81a1876dafa2de24676c95892b3b1a2416fd3b0f1b99ffa8f4b9db4f6c40998b,external/public;patent/ip;raw-chat;trigger-depth,Mermaid-Diagramme als lebende Systeme Von der Visu e0ca072cf0224d16b558dcec5132f81d (2).md
Meta-Conductor – Agent Routing,routing,md,519,40211c275192d8a20a052894303bf9e5580dcde10f02c72f719e27f2f4457a72,,Meta-Conductor – Agent Routing fd6d5f6a36a847fa9afc0274db5285c3 (2).md
Meta-Conductor – Agent Routing,routing,md,581,5ce12a5ab2ac98c5dffe0a217c0353ce09c98a91dfdbdf1b7c1464c0e8891be4,,Meta-Conductor – Agent Routing ff809de26a6d459d93e8584aec91666e (2).md
Notion ↔ ChatGPT System-Architektur,sync architecture,md,659,9101dcca138967eff7a7e5c70320efa624c994fccd471e07ed22ebcd81b2f869,,Notion ↔ ChatGPT System-Architektur 61e4f0113efa442ea56875f1f4672fe9 (2).md
