Term,Draft Definition,Source Basis,Public Boundary,Scaffold Status
Trigger,"A named cognitive, operational or system steering unit that can be referenced, reviewed and governed.",Trigger Truth complement; TRIGGER-MAP-001; SOURCE-174-210,"A Trigger is not automatically an executable command, medical claim or public canon object.",draft_required
Trigger-ID,The visible numeric or symbolic identifier used to address a trigger family or slot.,Trigger Truth complement key rule,Trigger-ID alone is not a unique trigger entry.,canonical_rule_needed
Unique Trigger Entry Key,Trigger-ID plus layer/instance plus mode/promille plus context.,trigger-complement-2026-03-30.md; trigger-map-001.source-index.csv,Do not collapse multiple instances into one flat number row.,must_be_public_rule
Trigger Instance,"A concrete occurrence of a trigger within a layer, mode, person, context or implementation surface.",Trigger Truth model,"Instance detail can be protected if it reveals private identity, account or security context.",draft_required
Trigger Cluster,"A semantic grouping of triggers sharing a functional, thematic or control purpose.",Atlas v1.1 trigger clusters; TRIGGER-MAP-001,"Cluster membership is routing evidence, not proof of L3/L4 canon.",draft_required
Trigger Band,A numeric or symbolic range used to group source-review and publication work.,SOURCE-174-210; TNPX-CAPII-TOKENOMICS-GATE-001,Band-level rules must not invent per-trigger semantics.,draft_required
Trigger Layer,"The source, control, execution or publication layer where a trigger is observed or used.",Trigger Truth model; CAP control tower,Layer movement requires gates; L2 reference does not imply L3 execution.,draft_required
Experienced,"A trigger was observed in lived, operational or session context but is not necessarily defined.",Workspace correlation doctrine,Experience-derived material may be public after professional framing; third-party/private specifics remain protected.,draft_required
Defined,A trigger has a source-backed name and definition candidate.,TRIGGER-MAP-001; SOURCE-174-210,Defined does not equal stable public canon.,draft_required
Emergent,A trigger pattern exists as correlation or candidate relation but lacks enough source-review depth.,XPORT-002 sample corridor; workspace correlation,Emergent rows stay out of public canon.,draft_required
Active,A trigger is used in bounded command or routing practice.,/fff command surface; CAP control tower,Active command surfaces need mutation and incident gates.,draft_required
Stable,"A trigger has enough source, gate and publication review to be treated as durable within its level.",CAP canon admission logic,"Stable level must be named: L1, L2, L3 or L4.",draft_required
Public,"Material that may be published after source, framing and redaction gates pass.",WORKSPACE-CORR-001; Track B promotion queue,"Public must preserve correlation without exposing third parties, accounts, raw identities, security or protected IP.",must_be_public_rule
Internal,Material usable inside the workspace or repo trace but not released as public canon.,CAP control tower; Notion SoR policy,Internal can be summarized by handle but not fully exported by default.,draft_required
Metarotik,A recognized later trigger/phenomenology cluster that must be preserved as relation but not expanded in this scaffold.,Workspace correlation; trigger complement seed,Deferred until after trigger/tokenomics basis is stable.,deferred_cluster
Protected,"Material whose relation can be preserved but whose detail is blocked by IP, legal, business, security, account, third-party or sensitivity gates.",TNPX-CAPII-TOKENOMICS-GATE-001; SENS lanes,Protected means handle-level relation only unless explicit review and Silvan publication GO clears more.,must_be_public_rule
Silvan-Specific Material,"Source material anchored in Silvan's authorship, lived system work or workspace history.",WORKSPACE-CORR-001,"Not private by default; public after professional framing, with third-party/account/raw-identity/security/IP exceptions.",must_be_public_rule
