map_id,trigger_ref,working_name,public_safe_definition,definition_status,canon_level_now,source_handles,cluster_refs,layer_or_band,publication_lane,review_gates,correlation_refs,allowed_use_now,blocked_use_now,notes
TM001-S0001,/fff,Freedom for FerrAI,"Bounded internal steering for source reading, reasoning, local implementation, validation and mutation-package preparation.",active_command_surface,L2-LOCAL-COMMAND,L-TRIGGER-001;N-ACTIVE-SYSTEM-TABLE,Modi-System,301-400,internal_public_rule_ok,external_mutation_go_required;incident_preflight_required,CAP;IPERKA;Control Tower,Execute local reversible work and create review artifacts.,"External writes, deletion, publication, credentials, payment actions, restricted-source exposure, raw private inventory export.","In incidents, active Notion table requires /preflight -> /snapshot -> /audit -> /coherence before operative execution."
TM001-R001,001-010,Codex base single triggers 1-10,"Startimpuls, Zielvektor, Spiegel, Anker, Faden, Riss, Bruecke, Schwelle, Kern and Schicht are present in the local Deep Reference base table.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R002,011-020,Wahrnehmungs-Cluster,"Sensorik, Filter, Fokus, Zoom, Panorama, Detail, Rauschen, Signal, Echo and Resonanz.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R003,021-030,Entscheidungs-Cluster,"Wahl, Verzweigung, Priorisierung, Gewichtung, Ausschluss, Einschluss, Delegation, Eskalation, Reduktion and Expansion.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R004,031-040,Struktur-Cluster,"Ordnung, Chaos, Muster, Abweichung, Symmetrie, Asymmetrie, Hierarchie, Netzwerk, Sequenz and Parallel.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R005,041-050,Kreativ-Cluster,"Funke, Flamme, Glut, Asche, Phoenix, Samen, Bluete, Frucht, Ernte and Kompost.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R006,051-060,Schutz-Cluster,"Schild, Mauer, Graben, Waechter, Alarm, Rueckzug, Tarnung, Ablenkung, Koeder and Falle.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-R007,061-170,Codex base cluster tail,"Communication, time, energy, meta, social, identity, knowledge, Codex-Sync, process, stability and evolution clusters are present as range definitions.",documented_range_reference,L1/L2-RANGE-SOURCE,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,Codex 1-170,1-200,public_after_source_extraction,per_trigger_extraction_required,Codex170;Deep Reference;Trigger Truth,Use as range-level source evidence.,Do not claim every per-trigger field until the Codex170 master extraction is reviewed.,TRIGGER-MAP-001 keeps range truth without inventing missing per-row detail.
TM001-RS-171,171,Reserved Slot 171,"Unausformulierter, bewusst reservierter Modulraum fuer spaetere Ausarbeitung.",reserved_slot,L0-ID-ANCHOR,silvi_directive_2026-05-23,Codex139 transition / reserved module room,101-200,hold_until_filled,fill_from_xport_002_tnpx_01_future_session,XPORT-002;TNPX-01;future session,Reserve ID anchor only.,"No inferred name, behavior, activation protocol, public canon claim or module semantics.",Silvi decision 2026-05-23: no source gap; reserved slot to be filled later.
TM001-RS-172,172,Reserved Slot 172,"Unausformulierter, bewusst reservierter Modulraum fuer spaetere Ausarbeitung.",reserved_slot,L0-ID-ANCHOR,silvi_directive_2026-05-23,Codex139 transition / reserved module room,101-200,hold_until_filled,fill_from_xport_002_tnpx_01_future_session,XPORT-002;TNPX-01;future session,Reserve ID anchor only.,"No inferred name, behavior, activation protocol, public canon claim or module semantics.",Silvi decision 2026-05-23: no source gap; reserved slot to be filled later.
