Hash Group,Representative File Handle,Source Handles,SHA-256,File Copies,Bytes,Message Markers,Axis Count,Axes,Publication Lane,Review Gates,File Handles
xport2-hashgrp-001,xport-src-001-file-0001,xport-src-001,d40661aea16a40d8a2a29874a900f0f3149632ca684103e01761f3fe66819fb1,1,49676,12,9,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0001
xport2-hashgrp-002,xport-src-001-file-0004,xport-src-001,17469877f3f0cc4372712f4d6377b36c8676f7990157619ee602d3758b310b57,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0004
xport2-hashgrp-003,xport-src-001-file-0005,xport-src-001,64b0f4ea5b7cdb1a4a92956d1dc1ca7b5ba5b66491c13616782c6cb04996debd,1,149146,112,9,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0005
xport2-hashgrp-004,xport-src-001-file-0006,xport-src-001,20d8fddc28b63ab5902a17f3f9b34f291ac8d652b7bc0dc48256388a5886f305,1,15170,0,6,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0006
xport2-hashgrp-005,xport-src-001-file-0007,xport-src-001,6d5beeae1dabed3b0d6a27122759ed9a32482c2bcb77218eafc36a7fe4d8bde0,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0007
xport2-hashgrp-006,xport-src-001-file-0008,xport-src-001,3f989246dadaea278e38984d6bd3ae98bf4c0ba9894ee11a02e505a20fdb41af,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0008
xport2-hashgrp-007,xport-src-001-file-0009,xport-src-001,31998ec6fc4f461b7b45254271e989ce7966211ea31bb3f4986c4f9e62f065ec,1,222,0,1,chatgpt_export,chat_export_index_candidate,chat_export_index_review,xport-src-001-file-0009
xport2-hashgrp-008,xport-src-001-file-0010,xport-src-001,c5a46137920012f2a48a3bc111ee34e443f5dec7a47baafcc042ea9c7e3f07f0,1,62742,16,6,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0010
xport2-hashgrp-009,xport-src-001-file-0011,xport-src-001,97330e09758b8183bea886590abe3c83795b2edc5b9a892a5b505e42114f49f6,1,48356,22,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,xport-src-001-file-0011
xport2-hashgrp-010,xport-src-001-file-0012,xport-src-001,5e9058323cf3fa59e011ab64878db4a62c17c26a3eb4e1fe3ced2d675fa06215,1,21060,16,5,chatgpt_export;control_tower;mermaid;notion_workspace;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,xport-src-001-file-0012
