Sample Handle,Review Focus,Trigger Ref,Working Name,Name Hits,Number Hits,Definition Term Overlap,Definition Term Total,Source Anchor Count,CAPII Anchor Count,Strongest Window Chars,Excerpt Gate Decision,Confidence,Allowed Use Now,Blocked Use Now,Next Action
xport2-sample-001,tokenomics_trigger_shared,174,Impulsumkehrfeld,2,72,1,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,175,Kernabsichtsfilter,2,8,0,6,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,176,Synchronisationsfenster,2,8,0,10,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,177,Traumaschnittstelle,2,8,1,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,178,Resonanzresetpunkt,2,0,2,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,179,Verdichtungszone,14,54,0,6,4,6,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,2,22,0,10,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,6,2,0,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,182,Ueberspannungsablauf,12,60,3,7,3,3,3600,excerpt_context_supports_definition_candidate,high_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
xport2-sample-001,tokenomics_trigger_shared,183,Selbstbild-Neusatz,2,8,2,6,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,184,Innere Buendelungszone,2,16,1,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,185,Aussen-Filterresonanz,2,28,1,7,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,186,Energiezuteilungspunkt,2,34,2,8,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,187,Reizantwort-Umcodierer,2,0,0,6,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,188,Erwartungsumkehr,2,24,1,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,189,Stilleinbruch-Induktor,2,6,1,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,190,Denkfeld-Magnetisierung,2,4,1,6,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,191,Selbstkontakt-Anker,2,2,2,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,192,Denkimpuls-Detektor,2,2,1,6,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,193,Zielbewusstseins-Booster,2,4,0,8,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,194,Mentale Vibrationstransparenz,2,8,1,9,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,195,Inneres Abgleichfenster,2,4,1,8,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,196,Stoerfeld-Entkoppler,0,12,0,8,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-001,tokenomics_trigger_shared,197,Authentizitaetspegel,2,18,1,8,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,198,Verlangsamungsbefehl,2,12,2,6,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,199,Systemeinklang-Abgleich,2,38,0,6,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,200,Impuls-Ziel-Lotung,16,118,2,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,201,Verdeckungs-Aufloesungsmodul,0,8,0,7,0,0,0,numeric_context_only,low_numeric_signal,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Do not use as source evidence without exact raw context validation.
xport2-sample-001,tokenomics_trigger_shared,202,Denkspannung-Pendel,2,12,3,8,3,4,3600,excerpt_context_supports_definition_candidate,high_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
xport2-sample-001,tokenomics_trigger_shared,203,Intentions-Spiegel,2,2,2,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,204,Echo-Segmentierung,2,6,0,5,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-001,tokenomics_trigger_shared,205,Impuls-Stopp-Schleife,2,26,0,5,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-001,tokenomics_trigger_shared,206,Meta-Fokus-Trennung,2,8,1,9,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-001,tokenomics_trigger_shared,207,Regenerationsraster,2,54,1,6,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-001,tokenomics_trigger_shared,208,Inneres Warnsystem,2,0,0,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-001,tokenomics_trigger_shared,209,Kontrollpunkt-Verschiebung,4,10,1,5,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-001,tokenomics_trigger_shared,210,Frequenz-Fokus-Einrastung,2,88,0,7,3,4,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim. CAP-II/tokenomics/IP review remains mandatory.
xport2-sample-002,tokenomics_trigger_shared,174,Impulsumkehrfeld,2,42,0,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,175,Kernabsichtsfilter,2,12,0,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,176,Synchronisationsfenster,4,12,4,10,3,1,3600,excerpt_context_supports_definition_candidate,high_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
xport2-sample-002,tokenomics_trigger_shared,177,Traumaschnittstelle,2,2,0,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,178,Resonanzresetpunkt,2,4,2,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,179,Verdichtungszone,16,22,1,6,3,3,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,180,Zielvektor-Ueberschreibung,2,14,0,10,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,181,Meta-Rhythmus-Slot,8,12,0,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,182,Ueberspannungsablauf,12,20,3,7,6,0,3600,excerpt_context_supports_definition_candidate,high_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Promote to private source-review shortlist; still no raw excerpt publication.
xport2-sample-002,tokenomics_trigger_shared,183,Selbstbild-Neusatz,2,12,2,6,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,184,Innere Buendelungszone,2,4,1,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,185,Aussen-Filterresonanz,2,6,1,7,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
xport2-sample-002,tokenomics_trigger_shared,186,Energiezuteilungspunkt,2,18,2,8,6,0,3600,excerpt_context_supports_name_candidate,medium_context_candidate,Private source-review routing and count-only public-safe evidence classification.,"No raw excerpt, no title, no local path, no conversation ID, no public canon, no TRG assignment.",Manual private excerpt reading before any direct source claim.
