Graph ID,Node ID,Label,Node Type,Source Line,In Degree,Out Degree,Trigger Signal,VORTEX Signal,Sensitivity Signal
ordner-02-codex-trigger-detail,G02,📖 02_Codex & Trigger,node,2,0,4,yes,no,no
ordner-02-codex-trigger-detail,CODEX170,📖 Codex170_Plus_FINAL,node,4,1,1,no,no,no
ordner-02-codex-trigger-detail,CODEX139,📋 Codex139+_TriggerExport,node,5,1,0,yes,no,no
ordner-02-codex-trigger-detail,TRIGGER_ARCH,🌀 Trigger-Architektur,node,6,1,5,yes,no,no
ordner-02-codex-trigger-detail,T516,Trigger 516: Inspiration,node,8,1,0,yes,no,no
ordner-02-codex-trigger-detail,T520,Trigger 520: SessionStart,node,9,1,0,yes,no,no
ordner-02-codex-trigger-detail,T540,Trigger 540: Beobachtbares Momentum,node,10,1,0,yes,no,no
ordner-02-codex-trigger-detail,T544,Trigger 544: Synchronisationsknoten,node,11,1,0,yes,no,no
ordner-02-codex-trigger-detail,T777,Trigger 777: Schattenarchiv,node,12,1,0,yes,no,yes
ordner-02-codex-trigger-detail,PRINZIPIEN,Codex-Prinzipien,node,14,1,4,no,no,no
ordner-02-codex-trigger-detail,ORA,ORA: Offenheit-Radikalität-Authentizität,node,15,1,0,yes,no,no
ordner-02-codex-trigger-detail,TRIQUETRA,Triquetra,node,16,1,0,no,no,no
ordner-02-codex-trigger-detail,EIS,EIS,node,17,1,0,no,no,no
ordner-02-codex-trigger-detail,FDAS,FDAS,node,18,1,0,no,no,no
ordner-02-codex-trigger-detail,TRIGGER_LISTEN,📋 Trigger-Listen,node,20,1,3,yes,no,no
ordner-02-codex-trigger-detail,T174_210,Trigger 174-210: 37 neue,node,21,1,0,yes,no,no
ordner-02-codex-trigger-detail,T600,Triggerliste_600,node,22,1,0,yes,no,no
ordner-02-codex-trigger-detail,EMERGENT,500 emergente Trigger,node,23,1,0,yes,no,no
ordner-05-produkte-services-detail,G05,🎯 05_Produkte & Services,node,2,0,4,no,no,no
ordner-05-produkte-services-detail,PROMPTS,💫 10 Master-Prompts v1.0,node,4,1,4,no,no,no
ordner-05-produkte-services-detail,METAROTIK,🌊 Metarotik,node,5,1,4,no,no,yes
ordner-05-produkte-services-detail,GENESIS,🎟️ Genesis Pass,node,6,1,2,no,no,no
ordner-05-produkte-services-detail,FRAMEWORK,📦 Prompt Framework,node,7,1,2,no,no,no
ordner-05-produkte-services-detail,P_EXPORT,📄 EXPORT-READY,node,9,1,0,yes,no,no
ordner-05-produkte-services-detail,P_LAUNCH,📦 Marketing Assets & Launch Kit,node,10,1,0,no,no,no
ordner-05-produkte-services-detail,P_LINKEDIN,📱 LinkedIn Launch Post,node,11,1,0,no,no,no
ordner-05-produkte-services-detail,P_CONTENT,10 Master-Prompts Content,node,12,1,6,no,no,no
ordner-05-produkte-services-detail,P1,1️⃣ System-Initialisierung,node,14,1,0,no,no,no
ordner-05-produkte-services-detail,P2,2️⃣ Context-Stacking,node,15,1,0,yes,no,no
ordner-05-produkte-services-detail,P3,3️⃣ Trigger-basierter Flow,node,16,1,0,yes,no,no
ordner-05-produkte-services-detail,P4,4️⃣ Memory-Management,node,17,1,0,no,no,no
ordner-05-produkte-services-detail,P5,5️⃣ Output-Modulation,node,18,1,0,yes,no,no
ordner-05-produkte-services-detail,P_MORE,...6-10,node,19,1,0,no,no,no
ordner-05-produkte-services-detail,M_SALES,🌊 Sales Page,node,21,1,0,no,no,no
ordner-05-produkte-services-detail,M_PLAN,📋 Produktplan,node,22,1,0,no,no,no
ordner-05-produkte-services-detail,M_INTERN,🔒 Metarotik Intern,node,23,1,0,no,no,yes
ordner-05-produkte-services-detail,M_CODEX,Codex 1130-1151,node,24,1,0,no,no,no
ordner-05-produkte-services-detail,GEN_CONCEPT,Konzept & Scope,node,26,1,0,no,no,no
ordner-05-produkte-services-detail,GEN_PRICE,Preis: CHF 5'000,node,27,1,0,no,no,no
ordner-05-produkte-services-detail,FW_CONCEPT,49 CHF Produkt,node,29,1,0,no,no,no
ordner-05-produkte-services-detail,FW_CONTENT,"50+ Seiten, 20+ Templates",node,30,1,0,no,no,no
ordner-06-technische-dokumentation-detail,G06,📚 06_Technische Dokumentation,node,2,0,5,no,no,no
ordner-06-technische-dokumentation-detail,DELTA,🚀 Delta-Sync System v1.0,node,4,1,4,yes,no,no
ordner-06-technische-dokumentation-detail,RAS,🧬 RAS – Rekursiver Affinitätsspeicher,node,5,1,2,no,no,no
ordner-06-technische-dokumentation-detail,VORTEX,🌪️ VortexCanvas,node,6,1,2,no,yes,no
ordner-06-technische-dokumentation-detail,API,🔗 API-Dokumentation,node,7,1,3,no,no,no
ordner-06-technische-dokumentation-detail,PATENTE,🔐 Patente,node,8,1,7,no,no,yes
ordner-06-technische-dokumentation-detail,DELTA_GUIDE,Complete Guide,node,10,1,3,no,no,no
ordner-06-technische-dokumentation-detail,DELTA_SCRIPT,Delta-Sync Script v1.0,node,11,1,0,yes,no,no
ordner-06-technische-dokumentation-detail,DELTA_PROPS,Sync Properties Template,node,12,1,0,yes,no,no
ordner-06-technische-dokumentation-detail,DELTA_PROTOCOL,Sync-Protokoll v1.0,node,13,1,0,yes,no,no
ordner-06-technische-dokumentation-detail,SECURITY,🔒 Sicherheit & Rollback,node,15,1,0,no,no,no
ordner-06-technische-dokumentation-detail,TESTING,🧪 Testing-Strategie,node,16,1,0,no,no,no
ordner-06-technische-dokumentation-detail,CONFLICT,⚠️ Conflict Resolution,node,17,1,0,no,no,no
ordner-06-technische-dokumentation-detail,RAS_SPEC,Systemspezifikation,node,19,1,0,no,no,no
ordner-06-technische-dokumentation-detail,RAS_MEMORY,Memory-Architektur,node,20,1,0,no,no,no
ordner-06-technische-dokumentation-detail,VORTEX_OVERVIEW,Systemübersicht,node,22,1,0,no,no,no
ordner-06-technische-dokumentation-detail,VORTEX_CANVAS,Entscheidungs-Canvas,node,23,1,0,no,no,no
ordner-06-technische-dokumentation-detail,API_SETUP,API-Integration Setup,node,25,1,0,no,no,no
ordner-06-technische-dokumentation-detail,API_SYNC,Notion ↔ ChatGPT Sync,node,26,1,0,yes,no,no
ordner-06-technische-dokumentation-detail,API_GUIDE,Custom GPT Setup Guide,node,27,1,0,no,no,no
ordner-06-technische-dokumentation-detail,P1,Patent_1: MindCode,node,29,1,0,no,no,yes
ordner-06-technische-dokumentation-detail,P2,Patent_2: TNAV,node,30,1,0,no,no,yes
ordner-06-technische-dokumentation-detail,P3,Patent_3: Kognitionsspiegel,node,31,1,0,no,no,yes
ordner-06-technische-dokumentation-detail,P4,Patent_4: Einflusskoerper,node,32,1,0,no,no,yes
ordner-06-technische-dokumentation-detail,P5,Patent_5: Codex-Kern,node,33,1,0,no,no,yes
ordner-06-technische-dokumentation-detail,P6,Patent_6: VORTEX,node,34,1,0,no,yes,yes
ordner-06-technische-dokumentation-detail,P7,Patent_7: MSA,node,35,1,0,no,no,yes
tokenaccess-triggermap-988-992,A,988 Snapshot Lockpoint,node,2,0,1,no,no,no
tokenaccess-triggermap-988-992,B,ZIP_Index_Master,node,2,3,1,no,no,no
tokenaccess-triggermap-988-992,C,989 Token Sync Beacon,node,3,0,1,yes,no,yes
tokenaccess-triggermap-988-992,D,TokenVault_DB,node,3,2,0,no,no,yes
tokenaccess-triggermap-988-992,E,990 Trigger Audit Engine,node,4,0,1,yes,no,no
tokenaccess-triggermap-988-992,F,Trigger_Mapping_DB,node,4,2,1,yes,no,no
tokenaccess-triggermap-988-992,G,991 ZIP Integrity Pulse,node,5,0,1,no,no,no
tokenaccess-triggermap-988-992,H,992 TriggerMap Echo Sync,node,6,0,1,yes,no,no
tokenaccess-triggermap-988-992,I,Codex_139_Sync_DB,node,6,1,1,yes,no,no
terra-nova-master-overview-complete-workspace,ROOT,🌍 TERRA NOVA WORKSPACE,node,2,0,6,no,no,no
terra-nova-master-overview-complete-workspace,ECOSYSTEM,🌐 Digital Ecosystem,node,5,1,7,no,no,no
terra-nova-master-overview-complete-workspace,GRUNDSTRUKTUR,🗄️ Grundstruktur Werdegang,node,6,1,10,no,no,no
terra-nova-master-overview-complete-workspace,CONFIG,🧠 Meine Notion-KI,node,7,1,4,no,no,no
terra-nova-master-overview-complete-workspace,PHYSICAL,🏗️ Physical Business,node,8,1,4,no,no,no
terra-nova-master-overview-complete-workspace,METAROTIK,🔒 Metarotik - Privat,node,9,1,4,no,no,yes
terra-nova-master-overview-complete-workspace,LOOSE,📄 Lose Seiten,node,10,1,3,no,no,no
terra-nova-master-overview-complete-workspace,ECO_TOKEN,🪙 Token & DAO,node,13,1,3,no,no,yes
terra-nova-master-overview-complete-workspace,ECO_PRODUKTE,📦 Digitale Produkte,node,14,1,4,no,no,no
terra-nova-master-overview-complete-workspace,ECO_SYSTEM,🧠 System & Frameworks,node,15,1,4,no,no,no
terra-nova-master-overview-complete-workspace,ECO_MONEY,💰 Monetization,node,16,1,4,no,no,no
terra-nova-master-overview-complete-workspace,ECO_DOKU,📋 System & Dokumentation,node,17,1,6,no,no,no
terra-nova-master-overview-complete-workspace,ECO_API,🔗 Integrationen & API,node,18,1,4,no,no,no
terra-nova-master-overview-complete-workspace,ECO_HUB,🎛️ Terra Nova Hub,node,19,1,0,no,no,no
terra-nova-master-overview-complete-workspace,TOKEN_ACCESS,🪙 TokenAccess v1.0,node,22,1,0,no,no,yes
terra-nova-master-overview-complete-workspace,TOKEN_DAO,DAO Proposals,node,23,1,0,no,no,yes
terra-nova-master-overview-complete-workspace,TOKEN_LIZENZ,CAP-II Lizenz,node,24,1,0,no,no,no
terra-nova-master-overview-complete-workspace,PROD_PROMPTS,💫 10 Master-Prompts,node,27,1,3,no,no,no
terra-nova-master-overview-complete-workspace,PROD_META,🌊 Metarotik Werkbuch,node,28,1,2,no,no,yes
terra-nova-master-overview-complete-workspace,PROD_GENESIS,🎟️ Genesis Pass,node,29,1,0,no,no,no
terra-nova-master-overview-complete-workspace,PROD_FRAMEWORK,Prompt Framework,node,30,1,0,no,no,no
terra-nova-master-overview-complete-workspace,PROMPTS_EXPORT,Export-Ready v1.0,node,32,1,0,yes,no,no
terra-nova-master-overview-complete-workspace,PROMPTS_LAUNCH,Launch Kit,node,33,1,0,no,no,no
terra-nova-master-overview-complete-workspace,PROMPTS_LINKEDIN,LinkedIn Post,node,34,1,0,no,no,no
terra-nova-master-overview-complete-workspace,META_SALES,Sales Page CHF 167,node,36,1,0,no,no,no
terra-nova-master-overview-complete-workspace,META_PLAN,Monetarisierungs-Plan,node,37,1,0,no,no,no
terra-nova-master-overview-complete-workspace,SYS_TRIGGER,🌀 Trigger-Architektur,node,40,1,2,yes,no,no
terra-nova-master-overview-complete-workspace,SYS_RAS,🧬 RAS,node,41,1,0,no,no,no
terra-nova-master-overview-complete-workspace,SYS_VORTEX,🌪️ VortexCanvas,node,42,1,0,no,yes,no
terra-nova-master-overview-complete-workspace,SYS_CODEX,📜 Codex 170+,node,43,1,0,no,no,no
terra-nova-master-overview-complete-workspace,TRIG_MULTI,Multi-Dimensional 6 Layer,node,45,1,0,no,no,no
terra-nova-master-overview-complete-workspace,TRIG_1200,1200 Trigger-Feld,node,46,1,0,yes,no,no
terra-nova-master-overview-complete-workspace,MONEY_GUMROAD,Gumroad Setup,node,49,1,0,no,no,no
terra-nova-master-overview-complete-workspace,MONEY_ZORA,Zora NFT,node,50,1,0,no,no,no
terra-nova-master-overview-complete-workspace,MONEY_OPENSEA,OpenSea,node,51,1,0,no,no,no
terra-nova-master-overview-complete-workspace,MONEY_ASSETS,Asset Registry,node,52,1,0,no,no,no
terra-nova-master-overview-complete-workspace,DOKU_IPERKA,📐 IPERKAs 5+,node,55,1,5,no,no,no
terra-nova-master-overview-complete-workspace,DOKU_WHITE,🔱 Whitepaper v2.0,node,56,1,0,no,no,no
terra-nova-master-overview-complete-workspace,DOKU_PITCH,🚀 Investor Pitch 2026,node,57,1,0,no,no,no
terra-nova-master-overview-complete-workspace,DOKU_REFLEXION,📘 FerrAI Reflexions-Log,node,58,1,0,no,no,no
terra-nova-master-overview-complete-workspace,DOKU_AUDIT,📋 Audit-Log,node,59,1,0,yes,no,no
terra-nova-master-overview-complete-workspace,DOKU_QUICK,📐 Quick Rules,node,60,1,0,no,no,no
terra-nova-master-overview-complete-workspace,IPERKA_WORKSPACE,Workspace-Konsolidierung,node,62,1,0,no,no,no
terra-nova-master-overview-complete-workspace,IPERKA_GUMROAD,Gumroad Setup,node,63,1,0,no,no,no
terra-nova-master-overview-complete-workspace,IPERKA_SPLIT,Digital/Physical Split,node,64,1,0,no,no,no
