Relation ID,Visible Reference,Draft Module ID,Relation Source,From,From Title,To,To Title,Relation Type,Guard Condition,Note,Boundary
MMD5-R001,516,CAP-MOD-DRAFT-516,atlas.manifest.v1.1.json,trigger_516,Trigger 516,framework_trigger_layer_4_meta_emergent,Trigger Layer 4: Meta-Emergent,belongs_to_layer,,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,Atlas relation only; not a canonical trigger definition.
MMD5-R002,516,CAP-MOD-DRAFT-516,atlas.manifest.v1.1.json,trigger_cluster_creative_flow_516_517,Creative Flow Trigger Cluster 516-517,trigger_516,Trigger 516,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R003,516,CAP-MOD-DRAFT-516,mmd-004.guard-review.csv,TRIGGER_ARCH,TRIGGER_ARCH,T516,T516,STRUCTURAL-RELATION,,Unlabeled visual relation,Guard relation only; not execution permission.
MMD5-R004,520,CAP-MOD-DRAFT-520,atlas.manifest.v1.1.json,trigger_520,Trigger 520,framework_trigger_layer_1_system_core,Trigger Layer 1: System-Core,belongs_to_layer,,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,Atlas relation only; not a canonical trigger definition.
MMD5-R005,520,CAP-MOD-DRAFT-520,atlas.manifest.v1.1.json,trigger_cluster_core_system_520_530,Core System Trigger Cluster 520-530,trigger_520,Trigger 520,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R006,520,CAP-MOD-DRAFT-520,mmd-004.guard-review.csv,TRIGGER_ARCH,TRIGGER_ARCH,T520,T520,STRUCTURAL-RELATION,,Unlabeled visual relation,Guard relation only; not execution permission.
MMD5-R007,520,CAP-MOD-DRAFT-520,mmd-004.guard-review.csv,T520,T520,T521,T521,GUARD-CANDIDATE,session_opened,Guard can support route understanding,Guard relation only; not execution permission.
MMD5-R008,521,CAP-MOD-DRAFT-521,atlas.manifest.v1.1.json,trigger_521,Trigger 521,framework_trigger_layer_2_schattenarchiv,Trigger Layer 2: Schattenarchiv,belongs_to_layer,,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,Atlas relation only; not a canonical trigger definition.
MMD5-R009,521,CAP-MOD-DRAFT-521,atlas.manifest.v1.1.json,trigger_cluster_core_system_520_530,Core System Trigger Cluster 520-530,trigger_521,Trigger 521,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R010,521,CAP-MOD-DRAFT-521,atlas.manifest.v1.1.json,trigger_cluster_protection_layer_182_521_777,Protection Layer Trigger Cluster 182 / 521 / 777,trigger_521,Trigger 521,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R011,521,CAP-MOD-DRAFT-521,mmd-004.guard-review.csv,T520,T520,T521,T521,GUARD-CANDIDATE,session_opened,Guard can support route understanding,Guard relation only; not execution permission.
MMD5-R012,521,CAP-MOD-DRAFT-521,mmd-004.guard-review.csv,T521,T521,ROOT,ROOT,GUARD-CANDIDATE,preflight_ok,Guard can support route understanding,Guard relation only; not execution permission.
MMD5-R013,540,CAP-MOD-DRAFT-540,atlas.manifest.v1.1.json,framework_prism,PRISM,trigger_540,Trigger 540,references,,PRISM is treated as part of the formalization path for reflective trigger logic.,Atlas relation only; not a canonical trigger definition.
MMD5-R014,540,CAP-MOD-DRAFT-540,atlas.manifest.v1.1.json,trigger_540,Trigger 540,framework_trigger_layer_4_meta_emergent,Trigger Layer 4: Meta-Emergent,belongs_to_layer,,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,Atlas relation only; not a canonical trigger definition.
MMD5-R015,540,CAP-MOD-DRAFT-540,atlas.manifest.v1.1.json,trigger_cluster_meta_reflexion_540_544,Meta-Reflexion Trigger Cluster 540 / 544,trigger_540,Trigger 540,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R016,540,CAP-MOD-DRAFT-540,mmd-004.guard-review.csv,TRIGGER_ARCH,TRIGGER_ARCH,T540,T540,STRUCTURAL-RELATION,,Unlabeled visual relation,Guard relation only; not execution permission.
MMD5-R017,544,CAP-MOD-DRAFT-544,atlas.manifest.v1.1.json,framework_prism,PRISM,trigger_544,Trigger 544,references,,PRISM is treated as part of the formalization path for synchronization-oriented trigger logic.,Atlas relation only; not a canonical trigger definition.
MMD5-R018,544,CAP-MOD-DRAFT-544,atlas.manifest.v1.1.json,trigger_544,Trigger 544,framework_trigger_layer_4_meta_emergent,Trigger Layer 4: Meta-Emergent,belongs_to_layer,,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,Atlas relation only; not a canonical trigger definition.
MMD5-R019,544,CAP-MOD-DRAFT-544,atlas.manifest.v1.1.json,trigger_cluster_meta_reflexion_540_544,Meta-Reflexion Trigger Cluster 540 / 544,trigger_544,Trigger 544,has_members,,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,Atlas relation only; not a canonical trigger definition.
MMD5-R020,544,CAP-MOD-DRAFT-544,mmd-004.guard-review.csv,TRIGGER_ARCH,TRIGGER_ARCH,T544,T544,STRUCTURAL-RELATION,,Unlabeled visual relation,Guard relation only; not execution permission.
MMD5-R021,544,CAP-MOD-DRAFT-544,mmd-004.guard-review.csv,T15,T15,T544,T544,GUARD-CANDIDATE,delta_confirmed,Guard can support route understanding,Guard relation only; not execution permission.
