Sample Handle,Priority,Review Focus,Focus Rank,Hash Group,Representative File Handle,Source Handles,SHA-256,File Copies,Bytes,Message Markers,Axis Count,Axes,Publication Lane,Review Gates,Selection Reason
xport2-sample-001,P1,tokenomics_trigger_shared,1,xport2-hashgrp-062,xport-src-001-file-0079,xport-src-001,e61952666c8e5bf6145ed01093ec64b457b4b18c9a62bd2cdeb51a08ece3b63b,1,4026458,976,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 976 message markers and 1 deduped file copy/copies."
xport2-sample-002,P1,tokenomics_trigger_shared,2,xport2-hashgrp-074,xport-src-001-file-0091,xport-src-001,3dd120685565e42ab27bbc7f4930bdff31d26570273bd2b2f790647c4ad80a69,1,1870740,310,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 310 message markers and 1 deduped file copy/copies."
xport2-sample-003,P1,tokenomics_trigger_shared,3,xport2-hashgrp-037,xport-src-001-file-0054,xport-src-001,dc4c24bf6ff9c852dbc6f96cbcc06f2a7cac2060ee0a452a845b5fa4ee1e87e3,1,725901,90,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 90 message markers and 1 deduped file copy/copies."
xport2-sample-004,P1,tokenomics_trigger_shared,4,xport2-hashgrp-076,xport-src-001-file-0093,xport-src-001,0bc3e545aec4320f66d981649c17dbfe3519ce47d032f2e02c112be3a249b9a5,1,535012,84,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 84 message markers and 1 deduped file copy/copies."
xport2-sample-005,P1,tokenomics_trigger_shared,5,xport2-hashgrp-104,xport-src-001-file-0121,xport-src-001,943d44466cd4cbb17daa3c435b0d2791458cd50746b6cce57df80f4fc8e13d44,2,49259,30,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 30 message markers and 2 deduped file copy/copies."
xport2-sample-006,P1,tokenomics_trigger_shared,6,xport2-hashgrp-040,xport-src-001-file-0057,xport-src-001,c0c6cb0eb9de603d08e573f67d197fbb446f924552e047e8b042928f1d9e1a22,1,612597,24,10,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics trigger shared anchor with 10 axes, 24 message markers and 1 deduped file copy/copies."
xport2-sample-007,P2,tokenomics_only,1,xport2-hashgrp-001,xport-src-001-file-0001,xport-src-001,d40661aea16a40d8a2a29874a900f0f3149632ca684103e01761f3fe66819fb1,1,49676,12,9,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics only anchor with 9 axes, 12 message markers and 1 deduped file copy/copies."
xport2-sample-008,P2,tokenomics_only,2,xport2-hashgrp-012,xport-src-001-file-0014,xport-src-001,2c42eec981a1fe7d69bc1b00ded5573c41953f9e6596339cf469bec136ac6b2f,1,90077,48,8,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"tokenomics only anchor with 8 axes, 48 message markers and 1 deduped file copy/copies."
xport2-sample-009,P2,tokenomics_only,3,xport2-hashgrp-018,xport-src-001-file-0020,xport-src-001,36e4c7808805e8a6c68537a8c7293a5807f4e60a0e093d01f46063f2e5a345e6,1,20272,6,8,chatgpt_export;control_tower;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,"tokenomics only anchor with 8 axes, 6 message markers and 1 deduped file copy/copies."
xport2-sample-010,P2,trigger_only,1,xport2-hashgrp-036,xport-src-001-file-0053,xport-src-001,e8d5483928bb2555082caf36dd227e56c57f1f606ba16ba870040b0ff694458b,1,19207,0,8,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,"trigger only anchor with 8 axes, 0 message markers and 1 deduped file copy/copies."
