Name,Object Type,Object ID / URL,Parent / Hub,Source Layer,Count Basis,Mode,Trigger Band,Freedom Mode,Status,Canon Status,Sensitivity,Owner,Last Edited,Last Reviewed,Related Canonical Object,Causal Chain,Emergent Coherence Evidence,Probabilistic Hypothesis,Deterministic Boundary,Feedback / Backpropagation Target,Prism / Zenodo Relevance,Understanding State,Duplicate Group,GitHub Path,Sync Status,Equilibrium Notes
CAP 0.1.0 - Cognitive Ability Point,Page,notion://redacted-internal-object,TerraNova - Entwicklungs- & Integrationszone,Notion Connector,not counted,STUDIO,301-400,bounded manual,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,CAP 0.1.0,Observation -> explicit GO -> create page -> verify -> update GitHub trace,Created as first live CAP control surface,Live Notion surface improves CAP controllability,Only one page creation was authorized,Registry,Backpropagation,operationalized,,docs/atlas/control-tower/,In sync,R15/R15.1 gate completed
EQUILIBRIUM - Offizielles Regelbuch,Page,notion://redacted-internal-object,,Notion Connector,not counted,BIZ,1-100,not applicable,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,,Observation -> rule source -> CAP boundary,Hard rulebook governs CAP operations,Equilibrium remains primary boundary layer,Must be checked before page creation or structural mutation,Notion Canon,Not relevant,understood,,docs/architecture/ferrAI_operating_kernel_v0.1.md,Needs sync,Do not duplicate full rulebook
TerraNova - Entwicklungs- & Integrationszone,Page,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,301-400,bounded manual,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> development parent -> CAP placement,Development zone already hosts intake and CEI-DATA links,Best parent for new internal CAP surface,No broad rewrite of parent page,Registry,Not relevant,understood,,docs/atlas/control-tower/,In sync,Parent fetched before CAP creation
CIC - Cognitive Intelligent Cooperation,Page,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,201-300,/fff candidate,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,,Observation -> CIC principle -> reference-over-copy,Defines Single Source of Truth and negative redundancy boundary,CAP should implement CIC as operational control layer,CIC is concept source not automation permission,Trigger Map,Backpropagation,understood,,docs/atlas/control-tower/cap-0.1.0.md,Needs sync,Use reference instead of copying content
Cognition Sync Hub,Page,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> existing semantic sync -> CAP integration,Existing hub already states realistic Notion sync limits,CAP should extend semantic sync not invent magical auto-sync,No auto-sync everywhere without scripts or approval,Registry,Not relevant,understood,,docs/atlas/control-tower/source-map.csv,Needs sync,Reuse as semantic sync doctrine
TNV-CAP-000 - All-in-One Light,Page,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,1-100,bounded manual,Indexed,Reference,Internal,Silvan,,2026-05-17,CAP 0.1.0 - Cognitive Ability Point,Observation -> predecessor found -> CAP 0.1.0 continuity,Shows CAP 0.0.0 / ORA truthmode predecessor,CAP 0.1.0 is an extension not isolated invention,Predecessor not replaced or deleted,Logbook,Not relevant,grasped,,docs/atlas/control-tower/cap-0.1.0.md,In sync,Maintain version lineage
CEI-DATA-05 - Workspace Index & Page Census Note,Page,notion://redacted-internal-object,TerraNova - Entwicklungs- & Integrationszone,Notion Connector,808 export_hard_count,BIZ,301-400,bounded manual,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,,Observation -> count layers -> registry count_basis,Defines 777/808/~880 as separate count spaces,CAP must preserve count-layer distinction,No raw page list publication,Registry,Backpropagation,understood,,docs/atlas/xxl-dataexport-500k/,Needs sync,Public gates apply before export
Cognitive Terranova System,Database,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Candidate,Internal,Silvan,,2026-05-17,,Observation -> existing DB -> registry reuse candidate,Existing DB has system entries and related data sources,May become registry surface or linked source,Do not alter schema without explicit GO,Registry,Not relevant,read,,docs/atlas/control-tower/object-registry.schema.json,Needs sync,Default template issue must be considered
Cognitive Terranova System main data source,Data Source,notion-ds://redacted-internal-source,Cognitive Terranova System,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Reference,Internal,Silvan,,2026-05-17,Cognitive Terranova System,Observation -> data source schema -> mapped fields,Main source contains Name/Status/Kategorie/Prioritaet etc.,Can support CAP rows after field mapping,No row updates without explicit GO,Registry,Not relevant,read,,docs/atlas/control-tower/object-registry.schema.json,Needs sync,Map fields before mutation
Restricted wiki data source,Wiki,notion-ds://redacted-internal-source,Cognitive Terranova System,Notion Connector,not counted,Mixed,101-200,blocked,Indexed,Reference,Restricted,Silvan,,2026-05-17,,Observation -> sensitive wiki -> restricted marker,Sensitive wiki exists under system DB,CAP must index existence without exposing raw titles,No raw restricted content in public artifacts,Registry,Not relevant,read,,docs/atlas/control-tower/source-map.csv,Not applicable,Restrict by default
Mermaid Diagrams - Code Library,Data Source,notion-ds://redacted-internal-source,Cognitive Terranova System,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> diagram registry -> visual/control layer,Diagram library maps architecture and trigger visuals,CAP should use diagrams for control views,Do not regenerate or rewrite diagrams without source check,GitHub Atlas,Backpropagation,read,,docs/atlas/diagrams.md,Needs sync,Prefer ACTIVE/KANON rows
Meine Notion-KI,Database,notion://redacted-internal-object,,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> workspace wiki -> ownership surface,Wiki database supports ownership and verification views,CAP can use it for page ownership logic,Do not duplicate wiki pages into CAP,Registry,Not relevant,read,,docs/atlas/control-tower/source-map.csv,Needs sync,Use owner and verification signals
Meine Notion-KI wiki data source,Wiki,notion-ds://redacted-internal-source,Meine Notion-KI,Notion Connector,not counted,STUDIO,301-400,/fff candidate,Indexed,Reference,Internal,Silvan,,2026-05-17,Meine Notion-KI,Observation -> wiki source -> page index role,Existing wiki page index can reduce duplicate control tables,CAP should link and reconcile not replace,Wiki custom properties limited by tool access,Registry,Not relevant,read,,docs/atlas/control-tower/source-map.csv,Needs sync,Respect wiki update limitations
Library Sync - 100 Batches,Database,notion://redacted-internal-object,Projektbeschrieb - TerraNova / FerrAI,Notion Connector,not counted,STUDIO,301-400,/fff enabled,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> batch DB -> phased crawl control,Existing batch DB provides status/sync/owner fields,Best surface for staged CAP inventory passes,No batch rows created without explicit GO,Logbook,Not relevant,read,,docs/atlas/control-tower/source-map.csv,Needs sync,Use for future staged inventory
Local CIC Atlas,GitHub Artifact,docs/atlas/,,GitHub Atlas,not counted,BIZ,301-400,bounded manual,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> repo atlas -> GitHub audit layer,Local atlas is curated versioned trace,CAP must keep GitHub audit beside Notion SoR,Raw source exports remain archival,GitHub Atlas,Backpropagation,operationalized,,docs/atlas/,In sync,Repo trace before Notion mutation
Phase 1 Notion mirror script,GitHub Artifact,scripts/notion_full_mirror.py,,GitHub Atlas,not counted,BIZ,301-400,blocked,Indexed,Reference,Internal,Silvan,,2026-05-17,,Observation -> existing script -> bounded exporter,Script exports one configured database only,Potential future exporter base after explicit implementation decision,No live full mirror claim,GitHub Atlas,Not relevant,read,,scripts/notion_full_mirror.py,In sync,Do not expose token or DB ID
Zenodo RC01-v12 reference,GitHub Artifact,docs/references/zenodo.md,,GitHub Atlas,not counted,BIZ,301-400,bounded manual,Indexed,Source of Truth,Public,Silvan,,2026-05-17,,Observation -> Zenodo reference -> foreground anchor,Published monograph is citable snapshot,CAP backpropagates from publication into living framework,Publication is snapshot not completion,Prism / Zenodo,Foreground,understood,,docs/references/zenodo.md,In sync,Use current DOI 10.5281/zenodo.20073579
Zenodo RC01-v12 release mirror,GitHub Artifact,releases/zenodo/rc01-v12-2026-05-07/,,GitHub Atlas,not counted,BIZ,301-400,bounded manual,Indexed,Reference,Public,Silvan,,2026-05-17,Zenodo RC01-v12 reference,Observation -> release mirror -> audit evidence,Mirror stores observed API snapshot and release files,CAP can use this for citation and metadata checks,No Zenodo mutation without explicit GO,Prism / Zenodo,Citation,read,,releases/zenodo/rc01-v12-2026-05-07/,In sync,Current release mirror only
CAP 0.1.0 - Workspace Object Registry,Database,notion://redacted-internal-object,CAP 0.1.0 - Cognitive Ability Point,Notion Connector,not counted,STUDIO,301-400,/fff enabled,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,CAP 0.1.0 - Cognitive Ability Point,GO Notion CAP Registry erstellen -> create database -> seed rows -> create control views -> register registry itself,The registry must govern its own origin schema and view layer,Self-registration reduces future drift between CAP page database and GitHub trace,No Notion Custom Agent; no raw 880-page import; no schema mutation without explicit GO,Registry,Backpropagation,operationalized,,docs/atlas/control-tower/,In sync,R15/R15.1 satisfied before creation; Notion is system of record
CAP 0.1.0 Registry data source,Data Source,notion-ds://redacted-internal-source,CAP 0.1.0 - Workspace Object Registry,Notion Connector,not counted,STUDIO,301-400,/fff enabled,Indexed,Source of Truth,Internal,Silvan,,2026-05-17,CAP 0.1.0 - Workspace Object Registry,Registry database -> collection data source -> rows and views -> CAP control queries,The data source ID is the operational handle for future safe row updates and queries,Keeping the collection ID visible prevents database/page ID confusion,Use data_source_id for registry rows; not database_id or parent page,Registry,Backpropagation,operationalized,,docs/atlas/control-tower/notion-registry-field-map.md,In sync,SQL query tool failed internally once; search/fetch verified schema and rows
Home-Ansichten Snapshot 2026-05-11,External Source,<local-sensitive-home-ansichten-snapshot>,Local Desktop Export / Home-Ansichten,Export Hard Count,808 export_hard_count,STUDIO,301-400,/fff enabled,Indexed,Reference,Sensitive,Silvan,2026-05-11,2026-05-17,CEI-DATA-05 - Workspace Index & Page Census Note,Desktop snapshot -> 808 unique Notion IDs -> duplicate title signal -> CAP registry seed expansion,The snapshot confirms the export hard-count layer and exposes title-level duplicate pressure without publishing raw page inventory,Duplicate titles and empty titles are likely a major control problem before content quality itself,Snapshot is not current truth and must not be published as raw private page list,Registry,Backpropagation,read,snapshot-title-duplicates,docs/atlas/control-tower/home-ansichten-snapshot-2026-05-11.md,Needs sync,808 URLs; 808 unique IDs; 46 duplicate-title groups; 0 duplicate IDs; sensitive raw export
Library Sync - 100 Batches data source,Data Source,notion-ds://redacted-internal-source,Library Sync - 100 Batches,Notion Connector,not counted,STUDIO,301-400,/fff enabled,Reviewed,Reference,Internal,Silvan,,2026-05-17,Library Sync - 100 Batches,DB-WIKI-001 read pass -> Library Sync database fetch -> operational data source handle discovered -> registry row added,The data source ID is required for future batch-row operations and avoids database/data-source confusion,Library Sync can become the controlled batch execution surface for future staged inventory passes,No batch rows are created or updated without explicit GO; data source row records handle only,Registry,Not relevant,understood,,docs/atlas/control-tower/db-wiki-001.findings.md,In sync,DB-WIKI-001 discovered missing operational data source row; added after explicit GO
