source_handle,source_tier,system,source_title,source_location,source_status,evidence_scope,mutation_status,notes
silvi_directive_2026-05-23,T6_OWNER_DIRECTIVE,Session directive,Silvi decision for Trigger 171-173,Current Codex session 2026-05-23,owner_decision,"171, 172 and 173 are reserved, unausformulierte slots for later module fill.",local_directive_applied,Not a source gap; consciously reserved module room.
N-CODEX-MASTER,T1_NOTION_MASTER,Notion,Terra Nova Codex - Handbuch,Notion workspace page; URL withheld in public trace,normative_master,"Codex governance, Notion-over-GitHub precedence, Codex139+ reference pointer",read_only_fetch_2026-05-23,Exports and mirrors are references; Notion Codex wins if source layers conflict.
N-TTRUTH-001,T1_NOTION_CANON,Notion,Trigger Truth - 675 Audit / 1200 Field / Module Registry,Notion workspace page; URL withheld in public trace,canon_rule_source,"Trigger-ID uniqueness rule, three-layer truth model, defined/active/stable semantics",read_only_fetch_2026-05-23,Canonical key is Trigger-ID + layer/instance + mode/promille + context.
N-CODEX139-174210,T2_NOTION_REFERENCE,Notion,Codex139+ TriggerExport 174-210 SilviModus,Notion workspace page; URL withheld in public trace,reference_export_not_master,"Full table for Trigger 174-210, Codex139+ integration notes, TNPX-01 relevance",read_only_fetch_2026-05-23,"Page states all 37 trigger modules are defined, but integration with Triggerliste_600 remains pending."
N-ACTIVE-SYSTEM-TABLE,T2_NOTION_OPERATIONAL,Notion,Trigger - Systemtabelle (aktiv),Notion workspace page; URL withheld in public trace,active_operational_table,Active entry points for 516/517/520/521/540/544/777/988-992/999 and emergency chain,read_only_fetch_2026-05-23,Operational route source; says no /fff first in incident or data-loss risk.
N-TRGMOD-NATIVE,T2_NOTION_SPEC,Notion,Trigger-Module - Terra Nova Native,Notion workspace page; URL withheld in public trace,module_spec_reference_not_master,"520 SessionStart, 521 Preflight, 517 AutoFlow, SAFE_MODE, RECOVER module specs",read_only_fetch_2026-05-23,"JSON exports are evidence for future L3 work, not live execution contracts."
N-TRGSYS-CAPII,T2_NOTION_REFERENCE,Notion,Trigger-System - TerraNova/FerrAI,Notion workspace page; URL withheld in public trace,reference_not_master,"Triggerbank 001-600, MasterTrigger, CAP-II 205-210 licensing/Revoke path",read_only_fetch_2026-05-23,"CAP-II path raises business, tokenomics and IP review gates for 205-210."
N-TRGINDEX-V53,T3_NOTION_IMPORTED_REFERENCE,Notion,Trigger_Index_TerraNova_V5.3,Notion imported/export page; URL withheld in public trace,imported_reference,"1001, 516, 520, 521, 544, 600, 777 index labels",read_only_fetch_2026-05-23,"Useful corroboration, not highest authority."
L-DEEP-REFERENCE-1-992,T4_LOCAL_RAW_SOURCE_PACK,GitHub local,Trigger-System - Deep Reference (1-992),raw/exports/prism/source-pack/2026-05-02/trigger-system-deep-reference,sensitive_local_reference,"1-170 base table, 171-505 gap statement, 516-523, 540/544, 777, 988-992, slash commands",local_read_only,Do not publish raw; use as source-pack evidence and protected range anchor.
L-GAP-LEDGER,T3_LOCAL_CURATED,GitHub local,TerraNova Trigger Gap Ledger,docs/triggers/gap_ledger.md,curated_gap_snapshot,Range-level status as of 2026-05-02,local_read_only,Superseded for 174-210 by Notion Codex139+ evidence; still valid for unresolved ranges.
L-TRIGGER-COMPLEMENT,T3_LOCAL_SEED,GitHub local,Trigger Complement Seed 2026-03-30,atlas/sources/trigger-complement-2026-03-30.md,local_seed_mirror,"Trigger Truth additions, architecture layers, Atlas v1.1 clusters",local_read_only,Public-safe mirror of user-provided Notion complement.
L-ATLAS-MANIFEST-V11,T3_LOCAL_CURATED,GitHub local,Atlas Manifest v1.1,atlas/atlas.manifest.v1.1.json,local_curated_manifest,"29 trigger objects, 15 trigger clusters, 675/1200 estimates",local_read_only,"Confirms selected anchors and clusters, not full per-trigger history."
L-TRIGGER-001,T3_LOCAL_CONTROL_TOWER,GitHub local,TRIGGER-001 Command Surface,docs/atlas/control-tower/trigger-001.command-surface.md,active_local_command_surface,"/fff, GO, STOP, FREEZE and bounded local execution rules",local_read_only,/fff accelerates local reversible work; it does not authorize external mutation.
L-MMD-004-007,T3_LOCAL_CONTROL_TOWER,GitHub local,MMD-004 through MMD-007,docs/atlas/control-tower/mmd-004*.csv; docs/atlas/control-tower/mmd-007*.csv,local_canon_review,"Visual trigger bridge review, source review queue, L1/L2 admission for 516/520/521/540/544",local_read_only,MMD-004 held 174-210 until source review; TRIGGER-MAP-001 performs that next review pass.
L-SOURCE-520-521,T3_LOCAL_CONTROL_TOWER,GitHub local,SOURCE-520 and SOURCE-521 primary source passes,docs/atlas/control-tower/source-520*.csv; docs/atlas/control-tower/source-521*.csv,local_source_review_complete,L2 routing-marker decisions and blocked claims for 520/521,local_read_only,Notion mutations were applied earlier only after explicit GO; this pass performs no mutation.
L-XPORT-002,T5_HASH_SAMPLE_EVIDENCE,GitHub local,CHATGPT-XPORT-002 review corridor,docs/atlas/control-tower/chatgpt-xport-002.review-summary.json,deduped_hash_sample_corridor,12 tokenomics/trigger review samples without raw dialogue or IDs,local_read_only,Supports next review targeting; does not itself define trigger semantics.
