Module Candidate ID,Visible Reference,Working Name,Lane,Gate Status,Canonical TRG ID,Evidence Count,Evidence,Reason,Next Action
CAP-TRG-CAND-001,174-210,Silvi/Codex139 range,CANON-SOURCE-NEEDED,defer,,1,ordner-02-codex-trigger-detail::T174_210::Trigger 174-210: 37 neue,Visible reference/range requires source review before module record.,hold for source or sensitivity review
CAP-TRG-CAND-002,516,Inspiration,CAP-MODULE-CANDIDATE,candidate,,1,ordner-02-codex-trigger-detail::T516::Trigger 516: Inspiration,Known safe internal anchor in visual evidence and canon reference.,eligible for CAP module registry draft
CAP-TRG-CAND-003,517,AutoFlow,CAUTION-AUTOFLOW,defer,,1,session-root-living-trigger-organism::T517::T517,AutoFlow requires observer framing and must not be normalized.,hold for source or sensitivity review
CAP-TRG-CAND-004,520,SessionStart,CAP-MODULE-CANDIDATE,candidate,,2,ordner-02-codex-trigger-detail::T520::Trigger 520: SessionStart | session-root-living-trigger-organism::T520::🚀 T-520: SESSION_START | ferro:state=init,Known safe internal anchor in visual evidence and canon reference.,eligible for CAP module registry draft
CAP-TRG-CAND-005,521,Preflight,CAP-MODULE-CANDIDATE,candidate,,1,session-root-living-trigger-organism::T521::T521,Known safe internal anchor in visual evidence and canon reference.,eligible for CAP module registry draft
CAP-TRG-CAND-006,540,Observable Momentum,CAP-MODULE-CANDIDATE,candidate,,1,ordner-02-codex-trigger-detail::T540::Trigger 540: Beobachtbares Momentum,Known safe internal anchor in visual evidence and canon reference.,eligible for CAP module registry draft
CAP-TRG-CAND-007,544,Synchronization Node,CAP-MODULE-CANDIDATE,candidate,,2,ordner-02-codex-trigger-detail::T544::Trigger 544: Synchronisationsknoten | session-root-living-trigger-organism::T544::T544,Known safe internal anchor in visual evidence and canon reference.,eligible for CAP module registry draft
CAP-TRG-CAND-008,600,Trigger list / trigger field,CANON-SOURCE-NEEDED,defer,,1,ordner-02-codex-trigger-detail::T600::Triggerliste_600,Visible reference/range requires source review before module record.,hold for source or sensitivity review
CAP-TRG-CAND-009,777,Schattenarchiv,SENS-HELD,blocked,,2,ordner-02-codex-trigger-detail::T777::Trigger 777: Schattenarchiv | session-root-living-trigger-organism::T777::T777,Sensitive or restricted trigger reference.,hold for source or sensitivity review
CAP-TRG-CAND-010,988,Snapshot Lockpoint,SENS-HELD,blocked,,1,tokenaccess-triggermap-988-992::A::988 Snapshot Lockpoint,Sensitive or restricted trigger reference.,hold for source or sensitivity review
CAP-TRG-CAND-011,989,Token Sync Beacon,SENS-HELD,blocked,,1,tokenaccess-triggermap-988-992::C::989 Token Sync Beacon,Sensitive or restricted trigger reference.,hold for source or sensitivity review
CAP-TRG-CAND-012,990,Trigger Audit Engine,SENS-HELD,blocked,,1,tokenaccess-triggermap-988-992::E::990 Trigger Audit Engine,Sensitive or restricted trigger reference.,hold for source or sensitivity review
CAP-TRG-CAND-013,991,ZIP Integrity Pulse,SENS-HELD,blocked,,1,tokenaccess-triggermap-988-992::G::991 ZIP Integrity Pulse,Sensitive or restricted trigger reference.,hold for source or sensitivity review
CAP-TRG-CAND-014,992,TriggerMap Echo Sync,SENS-HELD,blocked,,1,tokenaccess-triggermap-988-992::H::992 TriggerMap Echo Sync,Sensitive or restricted trigger reference.,hold for source or sensitivity review
