range_ref,status_before,status_after,evidence_handles,confidence,publication_lane,next_action
001-170,documented,documented_range_source_backed,L-DEEP-REFERENCE-1-992;N-CODEX-MASTER,high_for_range;medium_for_per_trigger_fields,public_after_extraction_review,Extract reviewed per-trigger rows from Codex170 master before claiming public per-trigger canon.
171-173,open_partial_inside_171_505,reserved_slot,silvi_directive_2026-05-23,owner_decision,hold,fill from XPORT-002 / TNPX-01 / future session
174-210,source_review_needed_or_open_partial,documented_reference_export,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11;L-MMD-004-007,high_for_names_and_short_definitions;medium_for_canon_level,public_after_trigger_review;205-210_protected_biz_ip_review,Promote from visual range to source-backed seed entries without assigning canonical TRG IDs.
211-299,open_partial_inside_171_505,open_partial,L-GAP-LEDGER;L-DEEP-REFERENCE-1-992,low,hold,Do not infer from 174-210; search Notion and ChatGPT exports.
300-325,known_exception_inside_171_505,identified_metarotik_cluster_hold,L-DEEP-REFERENCE-1-992;L-TRIGGER-COMPLEMENT;L-ATLAS-MANIFEST-V11,medium_for_cluster;low_for_per_trigger_fields,protected_later,Defer detailed Metarotik expansion until tokenomics and trigger base are stable.
326-505,open_partial_inside_171_505,open_partial,L-GAP-LEDGER;L-DEEP-REFERENCE-1-992,low,hold,Search only after 171-210 source pass is reconciled.
506-515,open,open,L-GAP-LEDGER,low,hold,Leave unassigned until a reviewed source appears.
516-523,documented_subset,documented_subset_with_L2_for_520_521,N-ACTIVE-SYSTEM-TABLE;N-TRGMOD-NATIVE;N-TRGINDEX-V53;L-SOURCE-520-521;L-DEEP-REFERENCE-1-992,high_for_520_521;medium_for_516_517_522_523,internal;public_after_module_review,Keep 520/521 at L2; source-review 516/517/522/523 before L3.
540/544,documented_points,documented_L2_routing_markers,N-ACTIVE-SYSTEM-TABLE;L-MMD-004-007;L-DEEP-REFERENCE-1-992,medium_high,internal;public_after_scope_review,Tie each to explicit Prism/CAP source and sync-scope tests before L3.
777,sensitive,protected_lane,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,high_for_boundary,protected_internal_only,Keep outside normal module admission unless Silvan explicitly opens Schattenarchiv review.
988-992,documented_sensitive,protected_sensitive_with_label_conflict,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,high_for_protected_range;medium_for_labels,protected_internal_only,Resolve active-table labels against TokenAccess TriggerMap before public appendix.
slash_commands,documented_group,documented_group_bounded,L-DEEP-REFERENCE-1-992;L-TRIGGER-001;N-ACTIVE-SYSTEM-TABLE,medium_high,public_after_command_surface_review,Keep /fff bounded; do not normalize /ffff or destructive commands without separate hardening.
