Evidence ID,Source Handle,Source Tier,Source Kind,Locator,Claim Support,Strength,Boundary,Canon Use
SOURCE520-E001,Trigger - Systemtabelle aktiv,T2 Live Notion System Record,Notion system-of-record page,Notion fetch 2026-05-18,520 is active /start with core role and link to Terra Nova Native module,high,"Trigger changes frame only; no content generation or external mutation permission",Confirm L2 routing marker
SOURCE520-E002,Trigger-Module - Terra Nova Native,T2 Live Notion System Record,Notion specification page,Notion fetch 2026-05-18,520 SessionStart v1.0.0 is an initialization module with id 520 and state initialization,medium-high,Page says specification not master; init_all_modules is not executable canon,Support L2 and queue L3 test work
SOURCE520-E003,Notion AI FerrAI Systemhandbuch,T2 Live Notion System Record,Notion live reference page,Notion fetch 2026-05-18,520 or /start maps to SessionStart and routes to Preflight check tacho and context loading,medium-high,"Describes Notion-side action surface; not Codex external mutation or credit-consuming agent permission",Support active entrypoint wording
SOURCE520-E004,Trigger_Index_TerraNova_V5.3,T5 Raw Export or Snapshot,Notion imported historical index,Notion fetch 2026-05-18,520 SessionStart means each work unit begins here,medium,Historical/imported source; not enough for execution semantics,Corroborate name and start role
SOURCE520-E005,02_Codex & Trigger,T2 Live Notion System Record,Notion architecture page,Notion fetch 2026-05-18,520 is listed among the most important triggers as SessionStart,medium,High-level architecture page; no behavior contract,Support L2 name/routing anchor
SOURCE520-E006,Manifeste & Trigger - Systemarchitektur,T2 Live Notion System Record,Notion architecture page,Notion fetch 2026-05-18,520 is actively linked in the trigger structure as SessionStart,medium,Master-layer architecture page but not detailed module contract,Support L2 active-system placement
SOURCE520-E007,TerraNova Entwicklungs- und Integrationszone,T2 Live Notion System Record,Notion development/integration page,Notion fetch 2026-05-18,520 SessionStart is system initialization and includes subcomponents around Nullpunkt Echo Null and Systemstart,medium,Development-zone content may be integration material; no automatic runtime admission,Support initialization wording
SOURCE520-E008,trigger-complement-2026-03-30,T4 Trigger Ledger or Source Complement,Repo trigger complement,atlas/sources/trigger-complement-2026-03-30.md,Core System 520-530 includes SessionStart Preflight Sync and Health,medium,Cluster evidence only; cannot infer missing semantics from neighboring numbers,Support core-system band
SOURCE520-E009,Atlas manifest and MMD guard outputs,T3 Extracted Mermaid or Atlas Graph,Repo Atlas/MMD extraction,atlas/atlas.manifest.v1.1.json and mmd-002 outputs,trigger_520 is SessionStart anchor and T520 routes toward T521 via session_opened guard,medium,Graph relation is not execution behavior,Support bounded Preflight handoff
SOURCE520-E010,Prism raw trigger deep reference,T5 Raw Export or Snapshot,Raw export source-pack,raw/exports/prism/source-pack trigger deep reference,520 is SessionStart Session-Eroeffnung Root-Trigger and precedes 521 Preflight,medium-low,Raw/private export support only; redact and do not publish as public canon,Corroborate root/start ordering only
