Evidence Row ID,Draft Module ID,Visible Reference,Evidence Type,Source File,Source Anchor,Label Or Guard,Relation,Status,Boundary
MMD5-E001,CAP-MOD-DRAFT-516,516,visual_candidate,mmd-004.candidate-review.csv,ordner-02-codex-trigger-detail::T516,Trigger 516: Inspiration,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E002,CAP-MOD-DRAFT-516,516,guard_relation,mmd-004.guard-review.csv,TRIGGER_ARCH->T516,,STRUCTURAL-RELATION,context,Guard relation only; not execution permission.
MMD5-E003,CAP-MOD-DRAFT-516,516,atlas_object,atlas.manifest.v1.1.json,trigger_516,Inspiration anchor in the Creative Flow band.,"trigger,creative-flow",documented,Atlas object context only; not a complete historical trigger definition.
MMD5-E004,CAP-MOD-DRAFT-516,516,atlas_relation,atlas.manifest.v1.1.json,trigger_516->framework_trigger_layer_4_meta_emergent,belongs_to_layer,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E005,CAP-MOD-DRAFT-516,516,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_creative_flow_516_517->trigger_516,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E006,CAP-MOD-DRAFT-520,520,visual_candidate,mmd-004.candidate-review.csv,ordner-02-codex-trigger-detail::T520,Trigger 520: SessionStart,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E007,CAP-MOD-DRAFT-520,520,visual_candidate,mmd-004.candidate-review.csv,session-root-living-trigger-organism::T520,🚀 T-520: SESSION_START | ferro:state=init,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E008,CAP-MOD-DRAFT-520,520,guard_relation,mmd-004.guard-review.csv,TRIGGER_ARCH->T520,,STRUCTURAL-RELATION,context,Guard relation only; not execution permission.
MMD5-E009,CAP-MOD-DRAFT-520,520,guard_relation,mmd-004.guard-review.csv,T520->T521,session_opened,GUARD-CANDIDATE,candidate,Guard relation only; not execution permission.
MMD5-E010,CAP-MOD-DRAFT-520,520,atlas_object,atlas.manifest.v1.1.json,trigger_520,SessionStart anchor in the core system band.,"trigger,core-system",documented,Atlas object context only; not a complete historical trigger definition.
MMD5-E011,CAP-MOD-DRAFT-520,520,atlas_relation,atlas.manifest.v1.1.json,trigger_520->framework_trigger_layer_1_system_core,belongs_to_layer,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E012,CAP-MOD-DRAFT-520,520,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_core_system_520_530->trigger_520,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E013,CAP-MOD-DRAFT-521,521,visual_candidate,mmd-004.candidate-review.csv,session-root-living-trigger-organism::T521,T521,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E014,CAP-MOD-DRAFT-521,521,guard_relation,mmd-004.guard-review.csv,T520->T521,session_opened,GUARD-CANDIDATE,candidate,Guard relation only; not execution permission.
MMD5-E015,CAP-MOD-DRAFT-521,521,guard_relation,mmd-004.guard-review.csv,T521->ROOT,preflight_ok,GUARD-CANDIDATE,candidate,Guard relation only; not execution permission.
MMD5-E016,CAP-MOD-DRAFT-521,521,atlas_object,atlas.manifest.v1.1.json,trigger_521,Preflight anchor that appears in both the core system and the protection layer.,"trigger,preflight",documented,Atlas object context only; not a complete historical trigger definition.
MMD5-E017,CAP-MOD-DRAFT-521,521,atlas_relation,atlas.manifest.v1.1.json,trigger_521->framework_trigger_layer_2_schattenarchiv,belongs_to_layer,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E018,CAP-MOD-DRAFT-521,521,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_core_system_520_530->trigger_521,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E019,CAP-MOD-DRAFT-521,521,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_protection_layer_182_521_777->trigger_521,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E020,CAP-MOD-DRAFT-540,540,visual_candidate,mmd-004.candidate-review.csv,ordner-02-codex-trigger-detail::T540,Trigger 540: Beobachtbares Momentum,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E021,CAP-MOD-DRAFT-540,540,guard_relation,mmd-004.guard-review.csv,TRIGGER_ARCH->T540,,STRUCTURAL-RELATION,context,Guard relation only; not execution permission.
MMD5-E022,CAP-MOD-DRAFT-540,540,atlas_object,atlas.manifest.v1.1.json,trigger_540,Validation and momentum anchor in the Meta-Reflexion band.,"trigger,meta-reflexion",documented,Atlas object context only; not a complete historical trigger definition.
MMD5-E023,CAP-MOD-DRAFT-540,540,atlas_relation,atlas.manifest.v1.1.json,framework_prism->trigger_540,references,PRISM is treated as part of the formalization path for reflective trigger logic.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E024,CAP-MOD-DRAFT-540,540,atlas_relation,atlas.manifest.v1.1.json,trigger_540->framework_trigger_layer_4_meta_emergent,belongs_to_layer,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E025,CAP-MOD-DRAFT-540,540,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_meta_reflexion_540_544->trigger_540,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E026,CAP-MOD-DRAFT-544,544,visual_candidate,mmd-004.candidate-review.csv,ordner-02-codex-trigger-detail::T544,Trigger 544: Synchronisationsknoten,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E027,CAP-MOD-DRAFT-544,544,visual_candidate,mmd-004.candidate-review.csv,session-root-living-trigger-organism::T544,T544,CAP-MODULE-CANDIDATE,candidate,Visual evidence only; canon remains separate.
MMD5-E028,CAP-MOD-DRAFT-544,544,guard_relation,mmd-004.guard-review.csv,TRIGGER_ARCH->T544,,STRUCTURAL-RELATION,context,Guard relation only; not execution permission.
MMD5-E029,CAP-MOD-DRAFT-544,544,guard_relation,mmd-004.guard-review.csv,T15->T544,delta_confirmed,GUARD-CANDIDATE,candidate,Guard relation only; not execution permission.
MMD5-E030,CAP-MOD-DRAFT-544,544,atlas_object,atlas.manifest.v1.1.json,trigger_544,Synchronization and decision-point anchor in the Meta-Reflexion band.,"trigger,meta-reflexion",documented,Atlas object context only; not a complete historical trigger definition.
MMD5-E031,CAP-MOD-DRAFT-544,544,atlas_relation,atlas.manifest.v1.1.json,framework_prism->trigger_544,references,PRISM is treated as part of the formalization path for synchronization-oriented trigger logic.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E032,CAP-MOD-DRAFT-544,544,atlas_relation,atlas.manifest.v1.1.json,trigger_544->framework_trigger_layer_4_meta_emergent,belongs_to_layer,Atlas v1.1 maps this trigger anchor to its primary architecture layer.,context,Atlas relation context only; not a canonical trigger definition.
MMD5-E033,CAP-MOD-DRAFT-544,544,atlas_relation,atlas.manifest.v1.1.json,trigger_cluster_meta_reflexion_540_544->trigger_544,has_members,Atlas v1.1 expands trigger-depth by linking canonical clusters to named trigger anchors.,context,Atlas relation context only; not a canonical trigger definition.
