Sample Handle,Priority,Review Focus,Representative File Handle,SHA-256,Axes,Publication Lane,Review Gates,Used For,SOURCE-174-210 Role,SOURCE-174-210 Status
xport2-sample-001,P1,tokenomics_trigger_shared,xport-src-001-file-0079,e61952666c8e5bf6145ed01093ec64b457b4b18c9a62bd2cdeb51a08ece3b63b,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-002,P1,tokenomics_trigger_shared,xport-src-001-file-0091,3dd120685565e42ab27bbc7f4930bdff31d26570273bd2b2f790647c4ad80a69,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-003,P1,tokenomics_trigger_shared,xport-src-001-file-0054,dc4c24bf6ff9c852dbc6f96cbcc06f2a7cac2060ee0a452a845b5fa4ee1e87e3,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-004,P1,tokenomics_trigger_shared,xport-src-001-file-0093,0bc3e545aec4320f66d981649c17dbfe3519ce47d032f2e02c112be3a249b9a5,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-005,P1,tokenomics_trigger_shared,xport-src-001-file-0121,943d44466cd4cbb17daa3c435b0d2791458cd50746b6cce57df80f4fc8e13d44,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-006,P1,tokenomics_trigger_shared,xport-src-001-file-0057,c0c6cb0eb9de603d08e573f67d197fbb446f924552e047e8b042928f1d9e1a22,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,205-210,CAP-II/tokenomics/IP corridor for 205-210,linked_for_protected_review
xport2-sample-007,P2,tokenomics_only,xport-src-001-file-0001,d40661aea16a40d8a2a29874a900f0f3149632ca684103e01761f3fe66819fb1,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,context_only,tokenomics context only; no direct trigger-source claim,not_primary_for_trigger_review
xport2-sample-008,P2,tokenomics_only,xport-src-001-file-0014,2c42eec981a1fe7d69bc1b00ded5573c41953f9e6596339cf469bec136ac6b2f,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,context_only,tokenomics context only; no direct trigger-source claim,not_primary_for_trigger_review
xport2-sample-009,P2,tokenomics_only,xport-src-001-file-0020,36e4c7808805e8a6c68537a8c7293a5807f4e60a0e093d01f46063f2e5a345e6,chatgpt_export;control_tower;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,context_only,tokenomics context only; no direct trigger-source claim,not_primary_for_trigger_review
xport2-sample-010,P2,trigger_only,xport-src-001-file-0053,e8d5483928bb2555082caf36dd227e56c57f1f606ba16ba870040b0ff694458b,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review,174-210,general trigger cross-check corridor for 174-210,linked_for_review
xport2-sample-011,P2,trigger_only,xport-src-001-file-0015,afa24c59b4b64f742e5ed8d0740bdf38dec36b0a218af48a8c6a613fa28b4348,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review,174-210,general trigger cross-check corridor for 174-210,linked_for_review
